round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,first_conv_dim,first_conv_kernel,first_conv_activation,first_lstm_dim,first_dense_dim,first_dense_activation,batch_size,epochs,patience,optimizer,lr
1000,0.0002739008341450244,0.0002739008341450244,0.007511971052736044,0.0002796158369164914,0.0002796158369164914,0.007307177875190973,64,5,relu,50,16,tanh,256,200,20,adam,1e-05
1000,0.00022679578978568316,0.00022679578978568316,0.006740611512213945,0.00024162679619621485,0.00024162679619621485,0.006410206202417612,32,3,relu,75,32,tanh,256,200,20,adam,0.001
1000,0.00022905714286025614,0.00022905714286025614,0.0067896489053964615,0.0002358143392484635,0.0002358143392484635,0.006576060317456722,32,5,relu,50,16,tanh,256,200,20,adam,0.0001
1000,0.00027421972481533885,0.00027421972481533885,0.007450975477695465,0.0002795488981064409,0.0002795488981064409,0.007461565546691418,64,5,relu,50,64,tanh,256,200,20,adam,0.0001
1000,0.0002281180932186544,0.0002281180932186544,0.006818768102675676,0.00023842722293920815,0.00023842722293920815,0.0064411405473947525,64,5,relu,75,32,relu,256,200,20,adam,1e-05
1000,0.0002248231030534953,0.0002248231030534953,0.006722578313201666,0.00023258040891960263,0.00023258040891960263,0.006466540042310953,64,3,relu,50,16,relu,256,200,20,adam,1e-05
1000,0.0002157554408768192,0.0002157554408768192,0.006768233608454466,0.00021564004418905824,0.00021564004418905824,0.00644985307008028,32,5,relu,75,32,relu,256,200,20,adam,0.0001
1000,0.0002288168907398358,0.0002288168907398358,0.006796764675527811,0.00023503352713305503,0.00023503352713305503,0.006823020521551371,32,7,relu,50,16,tanh,256,200,20,adam,1e-05
1000,0.00021601982007268816,0.00021601982007268816,0.006552641745656729,0.0002217988221673295,0.0002217988221673295,0.006447233259677887,32,7,relu,75,16,relu,256,200,20,adam,1e-05
1000,0.00026710156816989183,0.00026710156816989183,0.007674718275666237,0.00028448199736885726,0.00028448199736885726,0.0077328989282250404,32,5,relu,50,32,tanh,256,200,20,adam,0.001
1000,0.00023037390201352537,0.00023037390201352537,0.006790334824472666,0.00024226299137808383,0.00024226299137808383,0.0064544640481472015,32,3,relu,75,16,relu,256,200,20,adam,0.0001
1000,0.0002476950758136809,0.0002476950758136809,0.007192498538643122,0.0002592240343801677,0.0002592240343801677,0.006833296734839678,64,7,relu,50,64,relu,256,200,20,adam,0.0001
1000,0.0002276832819916308,0.0002276832819916308,0.006772774271667004,0.00023112751659937203,0.00023112751659937203,0.006632047705352306,32,5,relu,50,64,tanh,256,200,20,adam,0.0001
1000,0.00023811988648958504,0.00023811988648958504,0.007466936018317938,0.0002441969991195947,0.0002441969991195947,0.0071281068958342075,32,7,relu,75,32,relu,256,200,20,adam,0.0001
1000,0.00020499671518336982,0.00020499671518336982,0.006613591685891151,0.00022766525216866285,0.00022766525216866285,0.006349974311888218,32,3,relu,75,16,tanh,256,200,20,adam,0.0001
1000,0.00022046313097234815,0.00022046313097234815,0.006559631787240505,0.00023493780463468283,0.00023493780463468283,0.00654784357175231,64,5,relu,50,32,relu,256,200,20,adam,0.001
1000,0.00023621310538146645,0.00023621310538146645,0.006969612557440996,0.00022534443996846676,0.00022534443996846676,0.006268764846026897,64,3,relu,50,16,tanh,256,200,20,adam,0.001
1000,0.00020781294733751565,0.00020781294733751565,0.006403753533959389,0.00021277817722875625,0.00021277817722875625,0.006616446655243635,64,5,relu,50,64,relu,256,200,20,adam,0.001
1000,0.00022992487356532365,0.00022992487356532365,0.006856138817965984,0.00024136208230629563,0.00024136208230629563,0.0065348283387720585,32,3,relu,50,64,tanh,256,200,20,adam,0.001
1000,0.00023272853286471218,0.00023272853286471218,0.006697679404169321,0.0002484346623532474,0.0002484346623532474,0.006537115667015314,64,7,relu,75,16,relu,256,200,20,adam,0.0001
1000,0.0001995665079448372,0.0001995665079448372,0.006165308877825737,0.00020883898832835257,0.00020883898832835257,0.005897040478885174,32,5,relu,75,64,tanh,256,200,20,adam,0.0001
1000,0.00024493495584465563,0.00024493495584465563,0.00719989649951458,0.00026722525944933295,0.00026722525944933295,0.007022227626293898,64,3,relu,75,32,tanh,256,200,20,adam,0.001
1000,0.0002033812488662079,0.0002033812488662079,0.006258889101445675,0.00022157693456392735,0.00022157693456392735,0.006176759023219347,32,5,relu,75,16,tanh,256,200,20,adam,0.0001
1000,0.0002603626635391265,0.0002603626635391265,0.007349815219640732,0.00027012877399101853,0.00027012877399101853,0.007143860682845116,32,5,relu,50,64,tanh,256,200,20,adam,1e-05
1000,0.00022113544400781393,0.00022113544400781393,0.006957119796425104,0.00023708197113592178,0.00023708197113592178,0.00640809815376997,64,3,relu,50,32,relu,256,200,20,adam,1e-05
1000,0.00019908801186829805,0.00019908801186829805,0.006293556187301874,0.00020601674623321742,0.00020601674623321742,0.006142066791653633,32,7,relu,75,32,relu,256,200,20,adam,1e-05
1000,0.00019326820620335639,0.00019326820620335639,0.006100107450038195,0.0002033702185144648,0.0002033702185144648,0.005876722279936075,64,3,relu,75,16,relu,256,200,20,adam,0.0001
