round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,first_gru_dim,gru_activation,first_dense_dim,first_dense_activation,batch_size,epochs,optimizer,lr
5,0.05180254578590393,0.05180254578590393,0.17385873198509216,0.0588836744427681,0.0588836744427681,0.1815100759267807,50,relu,16,relu,256,5,adam,0.001
5,0.058573029935359955,0.058573029935359955,0.1833830028772354,0.0662117674946785,0.0662117674946785,0.1906973123550415,50,relu,16,relu,256,5,adam,0.0001
5,0.06791483610868454,0.06791483610868454,0.19722621142864227,0.07656408846378326,0.07656408846378326,0.20476478338241577,50,relu,16,relu,256,5,adam,1e-05
5,0.06748119741678238,0.06748119741678238,0.19692948460578918,0.07619544118642807,0.07619544118642807,0.204715758562088,50,relu,16,elu,256,5,adam,0.001
5,0.043232038617134094,0.043232038617134094,0.15662972629070282,0.04886271804571152,0.04886271804571152,0.16263864934444427,50,relu,16,elu,256,5,adam,0.0001
5,0.06299959868192673,0.06299959868192673,0.19081145524978638,0.0713152065873146,0.0713152065873146,0.1987890601158142,50,relu,16,elu,256,5,adam,1e-05
5,0.033378005027770996,0.033378005027770996,0.13625720143318176,0.03761424124240875,0.03761424124240875,0.14055758714675903,50,relu,16,tanh,256,5,adam,0.001
5,0.03790615126490593,0.03790615126490593,0.14752721786499023,0.04294516518712044,0.04294516518712044,0.15331068634986877,50,relu,16,tanh,256,5,adam,0.0001
5,0.043832339346408844,0.043832339346408844,0.157964289188385,0.049505140632390976,0.049505140632390976,0.1637977808713913,50,relu,16,tanh,256,5,adam,1e-05
5,0.06512505561113358,0.06512504816055298,0.19144536554813385,0.07313264161348343,0.07313264161348343,0.19788457453250885,50,relu,32,relu,256,5,adam,0.001
5,0.04894750565290451,0.04894750565290451,0.16810081899166107,0.055388398468494415,0.055388398468494415,0.17477357387542725,50,relu,32,relu,256,5,adam,0.0001
5,0.04426472261548042,0.04426472261548042,0.1578104943037033,0.049706604331731796,0.049706604331731796,0.1629222333431244,50,relu,32,relu,256,5,adam,1e-05
5,0.04457826912403107,0.04457826912403107,0.16017653048038483,0.05051090568304062,0.05051090568304062,0.16663606464862823,50,relu,32,elu,256,5,adam,0.001
5,0.05121494084596634,0.05121494084596634,0.17123977839946747,0.05791190639138222,0.05791190639138222,0.17797908186912537,50,relu,32,elu,256,5,adam,0.0001
5,0.052599430084228516,0.052599430084228516,0.17499417066574097,0.05973896384239197,0.05973896384239197,0.18260346353054047,50,relu,32,elu,256,5,adam,1e-05
5,0.05301275476813316,0.05301275476813316,0.17239874601364136,0.059638917446136475,0.059638917446136475,0.17822831869125366,50,relu,32,tanh,256,5,adam,0.001
5,0.05507468432188034,0.05507468432188034,0.17970967292785645,0.062563456594944,0.062563456594944,0.18753023445606232,50,relu,32,tanh,256,5,adam,0.0001
5,0.046826303005218506,0.046826303005218506,0.16223761439323425,0.052556660026311874,0.052556660026311874,0.16751939058303833,50,relu,32,tanh,256,5,adam,1e-05
5,0.02821354940533638,0.02821354940533638,0.12538325786590576,0.03184978663921356,0.03184978663921356,0.12941470742225647,50,relu,64,relu,256,5,adam,0.001
5,0.05661987513303757,0.05661987513303757,0.18094711005687714,0.06415776908397675,0.06415776908397675,0.1886845827102661,50,relu,64,relu,256,5,adam,0.0001
5,0.041107647120952606,0.041107647120952606,0.15235070884227753,0.04630556330084801,0.04630556330084801,0.15734978020191193,50,relu,64,relu,256,5,adam,1e-05
5,0.0413949191570282,0.0413949191570282,0.15292370319366455,0.04669533297419548,0.04669533297419548,0.15838481485843658,50,relu,64,elu,256,5,adam,0.001
5,0.046606216579675674,0.046606216579675674,0.16261756420135498,0.05267376825213432,0.05267376825213432,0.1685575544834137,50,relu,64,elu,256,5,adam,0.0001
