round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,conv_filter,conv_kernel,conv_activation,dilation_rate,dropout_rate,dense_dim,dense_activation,batch_size,epochs,patience,optimizer,lr
200,0.001272096880711615,0.001272096880711615,0.020070835947990417,0.0008720196201466024,0.0008720196201466024,0.015077261254191399,16,8,relu,4,0.1,64,relu,256,200,20,adam,1e-05
200,0.0014843884855508804,0.0014843884855508804,0.020597800612449646,0.0007713515660725534,0.0007713515660725534,0.013704665005207062,64,16,relu,1,0.1,32,relu,256,200,20,adam,0.0001
200,0.0013073798036202788,0.0013073798036202788,0.019522812217473984,0.0007418655441142619,0.0007418655441142619,0.014125100336968899,32,16,relu,1,0.05,64,relu,256,200,20,adam,1e-05
200,0.0014654387487098575,0.0014654387487098575,0.021612467244267464,0.0008391719311475754,0.0008391719311475754,0.015049848705530167,16,8,relu,1,0.05,64,relu,256,200,20,adam,0.0001
200,0.0014071379555389285,0.0014071379555389285,0.020419897511601448,0.0007775218691676855,0.0007775218691676855,0.013739828020334244,32,4,relu,4,0.05,64,relu,256,200,20,adam,0.001
200,0.0012922255555167794,0.0012922255555167794,0.01959005929529667,0.0007483954541385174,0.0007483954541385174,0.013754189014434814,64,16,relu,1,0.0,32,relu,256,200,20,adam,0.0001
200,0.001404098584316671,0.001404098584316671,0.019519004970788956,0.000712862063664943,0.000712862063664943,0.013003271073102951,16,16,relu,4,0.0,32,relu,256,200,20,adam,0.001
200,0.0012104539200663567,0.0012104539200663567,0.019213132560253143,0.0007253395742736757,0.0007253395742736757,0.013037591241300106,32,8,relu,1,0.1,64,relu,256,200,20,adam,1e-05
200,0.0018232277361676097,0.0018232277361676097,0.024187278002500534,0.0009982670890167356,0.0009982670890167356,0.01613318920135498,16,16,relu,4,0.1,64,relu,256,200,20,adam,0.001
200,0.0013626416912302375,0.0013626416912302375,0.019342318177223206,0.0008062180713750422,0.0008062180713750422,0.014323814772069454,64,16,relu,4,0.1,64,relu,256,200,20,adam,1e-05
200,0.0012265852419659495,0.0012265852419659495,0.018640950322151184,0.0007405297365039587,0.0007405297365039587,0.013386134058237076,32,16,relu,4,0.0,64,relu,256,200,20,adam,0.001
200,0.001975900260731578,0.001975900260731578,0.024339022114872932,0.0010009483667090535,0.0010009483667090535,0.0160684697329998,32,8,relu,8,0.05,64,relu,256,200,20,adam,0.001
200,0.0017657075077295303,0.0017657075077295303,0.021187428385019302,0.0008259786991402507,0.0008259786991402507,0.014263194985687733,16,4,relu,8,0.1,64,relu,256,200,20,adam,1e-05
200,0.0011194206308573484,0.0011194206308573484,0.018877975642681122,0.0007727829506620765,0.0007727829506620765,0.014835243113338947,32,8,relu,1,0.05,32,relu,256,200,20,adam,1e-05
200,0.0010826230281963944,0.0010826230281963944,0.01781785860657692,0.0006657157791778445,0.0006657157791778445,0.01287802867591381,64,4,relu,4,0.1,32,relu,256,200,20,adam,0.0001
200,0.0020766372326761484,0.0020766372326761484,0.024481847882270813,0.0009555335273034871,0.0009555335273034871,0.015128484927117825,64,8,relu,1,0.05,32,relu,256,200,20,adam,1e-05
200,0.0013727012556046247,0.0013727012556046247,0.019723135977983475,0.0007926676771603525,0.0007926676771603525,0.014076587744057178,64,4,relu,8,0.05,32,relu,256,200,20,adam,1e-05
200,0.0016982551896944642,0.0016982551896944642,0.021838800981640816,0.0008412001770921052,0.0008412001770921052,0.014945272356271744,32,16,relu,4,0.1,64,relu,256,200,20,adam,0.0001
200,0.0011084455763921142,0.0011084455763921142,0.018537061288952827,0.0006692097522318363,0.0006692097522318363,0.01387164555490017,32,8,relu,1,0.0,32,relu,256,200,20,adam,0.001
200,0.0014354236191138625,0.0014354236191138625,0.020612509921193123,0.0008254318381659687,0.0008254318381659687,0.014267349615693092,64,4,relu,8,0.0,64,relu,256,200,20,adam,0.001
200,0.001235458068549633,0.001235458068549633,0.01885312609374523,0.0007689771009609103,0.0007689771009609103,0.013462851755321026,32,4,relu,4,0.1,64,relu,256,200,20,adam,1e-05
200,0.001517461845651269,0.001517461845651269,0.021560028195381165,0.0008811349980533123,0.0008811349980533123,0.01466220524162054,16,8,relu,8,0.05,64,relu,256,200,20,adam,0.001
200,0.0012785799335688353,0.0012785799335688353,0.01967896707355976,0.0007279873243533075,0.0007279873243533075,0.013446195982396603,64,4,relu,1,0.05,32,relu,256,200,20,adam,0.0001
200,0.0015354985371232033,0.0015354985371232033,0.020925505086779594,0.0008099963888525963,0.0008099963888525963,0.01415991224348545,32,8,relu,1,0.05,32,relu,256,200,20,adam,0.0001
200,0.0016627225559204817,0.0016627225559204817,0.021788042038679123,0.0010517311748117208,0.0010517311748117208,0.015590216033160686,16,16,relu,1,0.05,64,relu,256,200,20,adam,1e-05
200,0.001494414173066616,0.001494414173066616,0.021067989990115166,0.0007212792988866568,0.0007212792988866568,0.014736446551978588,32,8,relu,1,0.0,64,relu,256,200,20,adam,0.001
200,0.0012810585321858525,0.0012810585321858525,0.019183408468961716,0.0008138858247548342,0.0008138858247548342,0.01379497442394495,64,16,relu,1,0.05,64,relu,256,200,20,adam,1e-05
200,0.0014549262123182416,0.0014549262123182416,0.021329792216420174,0.0007520023500546813,0.0007520023500546813,0.013901102356612682,16,4,relu,8,0.1,32,relu,256,200,20,adam,1e-05
200,0.0012873485684394836,0.0012873485684394836,0.019635500386357307,0.000732190441340208,0.000732190441340208,0.013540348969399929,32,8,relu,4,0.0,32,relu,256,200,20,adam,0.001
200,0.0012727092253044248,0.0012727092253044248,0.019639385864138603,0.000843035290017724,0.000843035290017724,0.013941686600446701,32,4,relu,4,0.1,32,relu,256,200,20,adam,0.001
200,0.001552277011796832,0.001552277011796832,0.02158343605697155,0.0008348816772922873,0.0008348816772922873,0.01441959012299776,16,16,relu,1,0.0,64,relu,256,200,20,adam,1e-05
200,0.001877272268757224,0.001877272268757224,0.023558761924505234,0.0009007631451822817,0.0009007631451822817,0.01540299877524376,16,4,relu,8,0.0,64,relu,256,200,20,adam,0.001
200,0.0014476085780188441,0.0014476085780188441,0.02048315480351448,0.0008819644572213292,0.0008819644572213292,0.014379352331161499,64,8,relu,4,0.05,32,relu,256,200,20,adam,0.001
200,0.001476901350542903,0.001476901350542903,0.02103719487786293,0.0007697474793531001,0.0007697474793531001,0.014591578394174576,32,8,relu,4,0.1,64,relu,256,200,20,adam,0.001
200,0.0017024417174980044,0.0017024417174980044,0.022834472358226776,0.0010843112831935287,0.0010843112831935287,0.016304370015859604,64,16,relu,4,0.1,32,relu,256,200,20,adam,0.001
200,0.0017646847991272807,0.0017646847991272807,0.023322803899645805,0.0009119628230109811,0.0009119628230109811,0.015295174904167652,32,4,relu,1,0.05,32,relu,256,200,20,adam,1e-05
200,0.001367009012028575,0.001367009012028575,0.020396040752530098,0.0007687317556701601,0.0007687317556701601,0.014030775055289268,16,16,relu,4,0.05,32,relu,256,200,20,adam,1e-05
125,0.0015896770637482405,0.0015896770637482405,0.020835887640714645,0.0010085597168654203,0.0010085597168654203,0.015275615267455578,16,8,relu,8,0.05,64,relu,256,200,20,adam,0.0001
200,0.0012191727291792631,0.0012191727291792631,0.01914922147989273,0.0007477747276425362,0.0007477747276425362,0.013409888371825218,64,16,relu,1,0.0,64,relu,256,200,20,adam,1e-05
200,0.0014772090362384915,0.0014772090362384915,0.021456830203533173,0.0007636139052920043,0.0007636139052920043,0.014101172797381878,32,8,relu,4,0.05,32,relu,256,200,20,adam,1e-05
153,0.001599121605977416,0.001599121605977416,0.021563097834587097,0.0009044717298820615,0.0009044717298820615,0.0147475004196167,32,16,relu,8,0.0,64,relu,256,200,20,adam,0.001
200,0.001457428908906877,0.001457428908906877,0.020121516659855843,0.0008560287533327937,0.0008560287533327937,0.014556290581822395,64,4,relu,8,0.05,32,relu,256,200,20,adam,0.001
