round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,lstm_dim_1,lstm_activation,dropout_rate_1,lstm_dim_2,dense_dim_1,dense_activation,gru_dim,gru_activation,dropout_rate_2,dense_dim_2,epochs,patience,batch_size,optimizer,lr
200,0.0009660398936830461,0.0009660398936830461,0.016521697863936424,0.00040230064769275486,0.00040230064769275486,0.011114312335848808,50,relu,0.1,75,32,relu,50,relu,0.1,64,200,20,256,adam,1e-05
200,0.0007427502423524857,0.0007427502423524857,0.015129837207496166,0.0003003640449605882,0.0003003640449605882,0.009787018410861492,50,relu,0.1,75,32,relu,75,relu,0.05,32,200,20,256,adam,0.001
200,0.0007070802967064083,0.0007070802967064083,0.014053207822144032,0.00026518895174376667,0.00026518895174376667,0.009330241940915585,75,relu,0.05,75,32,relu,50,relu,0.0,32,200,20,256,adam,0.0001
200,0.0009697927162051201,0.0009697927162051201,0.015877269208431244,0.0004168818995822221,0.0004168818995822221,0.012008772231638432,75,relu,0.05,50,32,relu,75,relu,0.0,32,200,20,256,adam,1e-05
200,0.0009448044584132731,0.0009448044584132731,0.016451520845294,0.0003714053309522569,0.0003714053309522569,0.010707546025514603,75,relu,0.05,50,64,relu,50,relu,0.05,64,200,20,256,adam,0.0001
200,0.0009438071283511817,0.0009438071283511817,0.016349919140338898,0.0003786105371546,0.0003786105371546,0.011335738934576511,75,relu,0.05,75,64,relu,50,relu,0.1,64,200,20,256,adam,0.0001
200,0.0009297019569203258,0.0009297019569203258,0.015847913920879364,0.0003898758441209793,0.0003898758441209793,0.01090261247009039,75,relu,0.05,50,64,relu,75,relu,0.1,32,200,20,256,adam,1e-05
200,0.0007820652099326253,0.0007820652099326253,0.014037992805242538,0.00032361430930905044,0.00032361430930905044,0.010150827467441559,50,relu,0.05,75,32,relu,75,relu,0.1,32,200,20,256,adam,0.001
200,0.0009174857987090945,0.0009174857987090945,0.015401864424347878,0.0004001379129476845,0.0004001379129476845,0.011334247887134552,75,relu,0.1,50,32,relu,75,relu,0.0,32,200,20,256,adam,0.0001
200,0.0008201387245208025,0.0008201387245208025,0.014975519850850105,0.0003027300990652293,0.0003027300990652293,0.009542643092572689,50,relu,0.05,50,64,relu,50,relu,0.05,32,200,20,256,adam,1e-05
200,0.0008387864800170064,0.0008387864800170064,0.014494240283966064,0.0003652550803963095,0.0003652550803963095,0.011141126044094563,50,relu,0.05,75,32,relu,50,relu,0.0,32,200,20,256,adam,1e-05
200,0.0009480203734710813,0.0009480203734710813,0.01553767453879118,0.0003952127299271524,0.0003952127299271524,0.01152089424431324,75,relu,0.05,50,32,relu,50,relu,0.1,32,200,20,256,adam,0.0001
200,0.0007561233942396939,0.0007561233942396939,0.01461505051702261,0.00030310178408399224,0.00030310178408399224,0.009654603898525238,50,relu,0.05,50,64,relu,75,relu,0.05,32,200,20,256,adam,1e-05
200,0.0008714428404346108,0.0008714428404346108,0.015680713579058647,0.0004039062769152224,0.0004039062769152224,0.011086014099419117,50,relu,0.1,75,32,relu,75,relu,0.0,64,200,20,256,adam,0.001
200,0.0009627656545490026,0.0009627656545490026,0.016088442876935005,0.00042682504863478243,0.00042682504863478243,0.011660059913992882,75,relu,0.05,75,32,relu,75,relu,0.0,32,200,20,256,adam,1e-05
200,0.001020115683786571,0.001020115683786571,0.016611216589808464,0.00043286223080940545,0.00043286223080940545,0.011775622144341469,50,relu,0.1,75,32,relu,75,relu,0.05,32,200,20,256,adam,0.0001
200,0.0009421139257028699,0.0009421139257028699,0.0156111940741539,0.00033659773180261254,0.00033659773180261254,0.010207496583461761,50,relu,0.1,50,64,relu,75,relu,0.0,64,200,20,256,adam,0.001
200,0.0008296145824715495,0.0008296145824715495,0.014684406109154224,0.00035161516279913485,0.00035161516279913485,0.01033034361898899,75,relu,0.1,75,32,relu,75,relu,0.0,64,200,20,256,adam,0.001
200,0.0008376892074011266,0.0008376892074011266,0.015079712495207787,0.000358427845640108,0.000358427845640108,0.010229759849607944,50,relu,0.05,75,32,relu,50,relu,0.1,32,200,20,256,adam,0.001
200,0.0008282467606477439,0.0008282467606477439,0.015321153216063976,0.0003510242677293718,0.0003510242677293718,0.010548826307058334,75,relu,0.1,75,32,relu,50,relu,0.0,64,200,20,256,adam,0.001
200,0.0008311747806146741,0.0008311747806146741,0.014783648774027824,0.00039421473047696054,0.00039421473047696054,0.010693946853280067,75,relu,0.05,75,32,relu,75,relu,0.1,64,200,20,256,adam,0.001
200,0.0008507248130626976,0.0008507248130626976,0.01480572484433651,0.000324173946864903,0.000324173946864903,0.01012441236525774,50,relu,0.1,75,32,relu,50,relu,0.0,32,200,20,256,adam,0.001
200,0.0007777241407893598,0.0007777241407893598,0.014471173286437988,0.0003521318722050637,0.0003521318722050637,0.010962643660604954,75,relu,0.1,75,64,relu,75,relu,0.05,64,200,20,256,adam,1e-05
