round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,lstm_dim_1,lstm_activation,dropout_rate_1,lstm_dim_2,dense_dim_1,dense_activation,gru_dim,gru_activation,dropout_rate_2,dense_dim_2,epochs,batch_size,optimizer,lr
5,0.03186658397316933,0.03186658397316933,0.13035203516483307,0.03028518334031105,0.03028518334031105,0.12846046686172485,75,relu,0.05,75,64,relu,50,relu,0.1,64,100,256,adam,0.0001
5,0.04442676156759262,0.04442676156759262,0.15492798388004303,0.043078888207674026,0.043078888207674026,0.1547725945711136,75,relu,0.1,50,64,relu,50,relu,0.0,32,100,256,adam,0.0001
5,0.05036836490035057,0.05036836490035057,0.16619539260864258,0.049203287810087204,0.049203287810087204,0.1665860414505005,50,relu,0.05,75,32,relu,50,relu,0.0,32,100,256,adam,1e-05
5,0.048819418996572495,0.048819418996572495,0.1635056734085083,0.047426871955394745,0.047426871955394745,0.16409970819950104,50,relu,0.05,50,32,relu,50,relu,0.1,64,100,256,adam,0.001
5,0.04866866394877434,0.04866866394877434,0.16272535920143127,0.047607421875,0.047607421875,0.16330179572105408,75,relu,0.05,50,64,relu,75,relu,0.05,64,100,256,adam,1e-05
5,0.03640105947852135,0.03640105947852135,0.14088128507137299,0.035587865859270096,0.035587865859270096,0.14129118621349335,75,relu,0.05,75,32,relu,50,relu,0.1,64,100,256,adam,0.001
