,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_feed_forward,params_hidden_size,params_input_chunk_length,params_lr,params_lstm_layers,params_n_epochs,params_num_attention_heads,params_optimizer,params_output_chunk_length,system_attrs_grid_id,system_attrs_search_space,state
40,40,0.05110343173146248,2022-08-11 22:28:19.735178,2022-08-11 22:31:40.395880,0 days 00:03:20.660702,256,0.05,GatedResidualNetwork,16,30,0.0001,4,1000,4,adam,1,220,"OrderedDict([('batch_size', [256]), ('dropout', [0.0, 0.05, 0.1]), ('feed_forward', ['GatedResidualNetwork']), ('hidden_size', [16, 32, 64, 128]), ('input_chunk_length', [30]), ('lr', [1e-05, 0.0001, 0.001]), ('lstm_layers', [1, 2, 3, 4]), ('n_epochs', [1000]), ('num_attention_heads', [4, 5, 6, 7]), ('optimizer', ['adam']), ('output_chunk_length', [1])])",COMPLETE
41,41,0.04890555143356323,2022-08-11 22:31:40.396719,2022-08-11 22:39:35.479643,0 days 00:07:55.082924,256,0.05,GatedResidualNetwork,16,30,0.0001,2,1000,6,adam,1,214,"OrderedDict([('batch_size', [256]), ('dropout', [0.0, 0.05, 0.1]), ('feed_forward', ['GatedResidualNetwork']), ('hidden_size', [16, 32, 64, 128]), ('input_chunk_length', [30]), ('lr', [1e-05, 0.0001, 0.001]), ('lstm_layers', [1, 2, 3, 4]), ('n_epochs', [1000]), ('num_attention_heads', [4, 5, 6, 7]), ('optimizer', ['adam']), ('output_chunk_length', [1])])",COMPLETE
42,42,0.29956841468811035,2022-08-11 22:39:35.481842,2022-08-11 22:43:30.911569,0 days 00:03:55.429727,256,0.05,GatedResidualNetwork,32,30,0.0001,4,1000,7,adam,1,271,"OrderedDict([('batch_size', [256]), ('dropout', [0.0, 0.05, 0.1]), ('feed_forward', ['GatedResidualNetwork']), ('hidden_size', [16, 32, 64, 128]), ('input_chunk_length', [30]), ('lr', [1e-05, 0.0001, 0.001]), ('lstm_layers', [1, 2, 3, 4]), ('n_epochs', [1000]), ('num_attention_heads', [4, 5, 6, 7]), ('optimizer', ['adam']), ('output_chunk_length', [1])])",COMPLETE
43,43,0.24845533072948456,2022-08-11 22:43:30.912431,2022-08-11 22:49:19.245631,0 days 00:05:48.333200,256,0.05,GatedResidualNetwork,128,30,1e-05,2,1000,4,adam,1,340,"OrderedDict([('batch_size', [256]), ('dropout', [0.0, 0.05, 0.1]), ('feed_forward', ['GatedResidualNetwork']), ('hidden_size', [16, 32, 64, 128]), ('input_chunk_length', [30]), ('lr', [1e-05, 0.0001, 0.001]), ('lstm_layers', [1, 2, 3, 4]), ('n_epochs', [1000]), ('num_attention_heads', [4, 5, 6, 7]), ('optimizer', ['adam']), ('output_chunk_length', [1])])",COMPLETE
44,44,0.025411704555153847,2022-08-11 22:49:19.246488,2022-08-11 22:57:59.147784,0 days 00:08:39.901296,256,0.05,GatedResidualNetwork,32,30,0.0001,1,1000,7,adam,1,259,"OrderedDict([('batch_size', [256]), ('dropout', [0.0, 0.05, 0.1]), ('feed_forward', ['GatedResidualNetwork']), ('hidden_size', [16, 32, 64, 128]), ('input_chunk_length', [30]), ('lr', [1e-05, 0.0001, 0.001]), ('lstm_layers', [1, 2, 3, 4]), ('n_epochs', [1000]), ('num_attention_heads', [4, 5, 6, 7]), ('optimizer', ['adam']), ('output_chunk_length', [1])])",COMPLETE
45,45,0.05995314568281174,2022-08-11 22:57:59.148628,2022-08-11 23:00:54.580104,0 days 00:02:55.431476,256,0.1,GatedResidualNetwork,32,30,0.0001,4,1000,5,adam,1,461,"OrderedDict([('batch_size', [256]), ('dropout', [0.0, 0.05, 0.1]), ('feed_forward', ['GatedResidualNetwork']), ('hidden_size', [16, 32, 64, 128]), ('input_chunk_length', [30]), ('lr', [1e-05, 0.0001, 0.001]), ('lstm_layers', [1, 2, 3, 4]), ('n_epochs', [1000]), ('num_attention_heads', [4, 5, 6, 7]), ('optimizer', ['adam']), ('output_chunk_length', [1])])",COMPLETE
46,46,0.18074290454387665,2022-08-11 23:00:54.580945,2022-08-11 23:05:04.129403,0 days 00:04:09.548458,256,0.0,GatedResidualNetwork,32,30,0.001,3,1000,7,adam,1,91,"OrderedDict([('batch_size', [256]), ('dropout', [0.0, 0.05, 0.1]), ('feed_forward', ['GatedResidualNetwork']), ('hidden_size', [16, 32, 64, 128]), ('input_chunk_length', [30]), ('lr', [1e-05, 0.0001, 0.001]), ('lstm_layers', [1, 2, 3, 4]), ('n_epochs', [1000]), ('num_attention_heads', [4, 5, 6, 7]), ('optimizer', ['adam']), ('output_chunk_length', [1])])",COMPLETE
47,47,0.05026070773601532,2022-08-11 23:05:04.130230,2022-08-11 23:14:27.811295,0 days 00:09:23.681065,256,0.1,GatedResidualNetwork,32,30,1e-05,4,1000,4,adam,1,444,"OrderedDict([('batch_size', [256]), ('dropout', [0.0, 0.05, 0.1]), ('feed_forward', ['GatedResidualNetwork']), ('hidden_size', [16, 32, 64, 128]), ('input_chunk_length', [30]), ('lr', [1e-05, 0.0001, 0.001]), ('lstm_layers', [1, 2, 3, 4]), ('n_epochs', [1000]), ('num_attention_heads', [4, 5, 6, 7]), ('optimizer', ['adam']), ('output_chunk_length', [1])])",COMPLETE
48,48,0.04194827005267143,2022-08-11 23:14:27.812129,2022-08-11 23:19:06.672253,0 days 00:04:38.860124,256,0.1,GatedResidualNetwork,128,30,0.001,3,1000,5,adam,1,569,"OrderedDict([('batch_size', [256]), ('dropout', [0.0, 0.05, 0.1]), ('feed_forward', ['GatedResidualNetwork']), ('hidden_size', [16, 32, 64, 128]), ('input_chunk_length', [30]), ('lr', [1e-05, 0.0001, 0.001]), ('lstm_layers', [1, 2, 3, 4]), ('n_epochs', [1000]), ('num_attention_heads', [4, 5, 6, 7]), ('optimizer', ['adam']), ('output_chunk_length', [1])])",COMPLETE
49,49,0.047052860260009766,2022-08-11 23:19:06.673089,2022-08-11 23:27:10.982602,0 days 00:08:04.309513,256,0.05,GatedResidualNetwork,16,30,1e-05,2,1000,6,adam,1,198,"OrderedDict([('batch_size', [256]), ('dropout', [0.0, 0.05, 0.1]), ('feed_forward', ['GatedResidualNetwork']), ('hidden_size', [16, 32, 64, 128]), ('input_chunk_length', [30]), ('lr', [1e-05, 0.0001, 0.001]), ('lstm_layers', [1, 2, 3, 4]), ('n_epochs', [1000]), ('num_attention_heads', [4, 5, 6, 7]), ('optimizer', ['adam']), ('output_chunk_length', [1])])",COMPLETE
50,50,0.03457010164856911,2022-08-11 23:27:10.983436,2022-08-11 23:30:36.997039,0 days 00:03:26.013603,256,0.1,GatedResidualNetwork,64,30,1e-05,4,1000,5,adam,1,493,"OrderedDict([('batch_size', [256]), ('dropout', [0.0, 0.05, 0.1]), ('feed_forward', ['GatedResidualNetwork']), ('hidden_size', [16, 32, 64, 128]), ('input_chunk_length', [30]), ('lr', [1e-05, 0.0001, 0.001]), ('lstm_layers', [1, 2, 3, 4]), ('n_epochs', [1000]), ('num_attention_heads', [4, 5, 6, 7]), ('optimizer', ['adam']), ('output_chunk_length', [1])])",COMPLETE
51,51,0.26158982515335083,2022-08-11 23:30:36.997920,2022-08-11 23:37:46.608300,0 days 00:07:09.610380,256,0.0,GatedResidualNetwork,32,30,0.001,4,1000,4,adam,1,92,"OrderedDict([('batch_size', [256]), ('dropout', [0.0, 0.05, 0.1]), ('feed_forward', ['GatedResidualNetwork']), ('hidden_size', [16, 32, 64, 128]), ('input_chunk_length', [30]), ('lr', [1e-05, 0.0001, 0.001]), ('lstm_layers', [1, 2, 3, 4]), ('n_epochs', [1000]), ('num_attention_heads', [4, 5, 6, 7]), ('optimizer', ['adam']), ('output_chunk_length', [1])])",COMPLETE
52,52,0.17212872207164764,2022-08-11 23:37:46.609125,2022-08-11 23:44:41.405665,0 days 00:06:54.796540,256,0.0,GatedResidualNetwork,16,30,0.001,4,1000,7,adam,1,47,"OrderedDict([('batch_size', [256]), ('dropout', [0.0, 0.05, 0.1]), ('feed_forward', ['GatedResidualNetwork']), ('hidden_size', [16, 32, 64, 128]), ('input_chunk_length', [30]), ('lr', [1e-05, 0.0001, 0.001]), ('lstm_layers', [1, 2, 3, 4]), ('n_epochs', [1000]), ('num_attention_heads', [4, 5, 6, 7]), ('optimizer', ['adam']), ('output_chunk_length', [1])])",COMPLETE
53,53,0.031220514327287674,2022-08-11 23:44:41.406499,2022-08-11 23:49:12.271113,0 days 00:04:30.864614,256,0.0,GatedResidualNetwork,64,30,1e-05,2,1000,4,adam,1,100,"OrderedDict([('batch_size', [256]), ('dropout', [0.0, 0.05, 0.1]), ('feed_forward', ['GatedResidualNetwork']), ('hidden_size', [16, 32, 64, 128]), ('input_chunk_length', [30]), ('lr', [1e-05, 0.0001, 0.001]), ('lstm_layers', [1, 2, 3, 4]), ('n_epochs', [1000]), ('num_attention_heads', [4, 5, 6, 7]), ('optimizer', ['adam']), ('output_chunk_length', [1])])",COMPLETE
54,54,0.047978922724723816,2022-08-11 23:49:12.271989,2022-08-11 23:58:26.387347,0 days 00:09:14.115358,256,0.05,GatedResidualNetwork,128,30,1e-05,2,1000,7,adam,1,343,"OrderedDict([('batch_size', [256]), ('dropout', [0.0, 0.05, 0.1]), ('feed_forward', ['GatedResidualNetwork']), ('hidden_size', [16, 32, 64, 128]), ('input_chunk_length', [30]), ('lr', [1e-05, 0.0001, 0.001]), ('lstm_layers', [1, 2, 3, 4]), ('n_epochs', [1000]), ('num_attention_heads', [4, 5, 6, 7]), ('optimizer', ['adam']), ('output_chunk_length', [1])])",COMPLETE
55,55,0.043212927877902985,2022-08-11 23:58:26.388191,2022-08-12 00:01:40.326468,0 days 00:03:13.938277,256,0.1,GatedResidualNetwork,64,30,1e-05,3,1000,4,adam,1,488,"OrderedDict([('batch_size', [256]), ('dropout', [0.0, 0.05, 0.1]), ('feed_forward', ['GatedResidualNetwork']), ('hidden_size', [16, 32, 64, 128]), ('input_chunk_length', [30]), ('lr', [1e-05, 0.0001, 0.001]), ('lstm_layers', [1, 2, 3, 4]), ('n_epochs', [1000]), ('num_attention_heads', [4, 5, 6, 7]), ('optimizer', ['adam']), ('output_chunk_length', [1])])",COMPLETE
56,56,0.03624988719820976,2022-08-12 00:01:40.327307,2022-08-12 00:08:58.003435,0 days 00:07:17.676128,256,0.0,GatedResidualNetwork,16,30,1e-05,1,1000,6,adam,1,2,"OrderedDict([('batch_size', [256]), ('dropout', [0.0, 0.05, 0.1]), ('feed_forward', ['GatedResidualNetwork']), ('hidden_size', [16, 32, 64, 128]), ('input_chunk_length', [30]), ('lr', [1e-05, 0.0001, 0.001]), ('lstm_layers', [1, 2, 3, 4]), ('n_epochs', [1000]), ('num_attention_heads', [4, 5, 6, 7]), ('optimizer', ['adam']), ('output_chunk_length', [1])])",COMPLETE
57,57,0.03351754695177078,2022-08-12 00:08:58.004290,2022-08-12 00:20:16.809715,0 days 00:11:18.805425,256,0.05,GatedResidualNetwork,16,30,0.0001,1,1000,5,adam,1,209,"OrderedDict([('batch_size', [256]), ('dropout', [0.0, 0.05, 0.1]), ('feed_forward', ['GatedResidualNetwork']), ('hidden_size', [16, 32, 64, 128]), ('input_chunk_length', [30]), ('lr', [1e-05, 0.0001, 0.001]), ('lstm_layers', [1, 2, 3, 4]), ('n_epochs', [1000]), ('num_attention_heads', [4, 5, 6, 7]), ('optimizer', ['adam']), ('output_chunk_length', [1])])",COMPLETE
58,58,0.27697688341140747,2022-08-12 00:20:16.810548,2022-08-12 00:23:51.171101,0 days 00:03:34.360553,256,0.05,GatedResidualNetwork,64,30,0.0001,3,1000,4,adam,1,312,"OrderedDict([('batch_size', [256]), ('dropout', [0.0, 0.05, 0.1]), ('feed_forward', ['GatedResidualNetwork']), ('hidden_size', [16, 32, 64, 128]), ('input_chunk_length', [30]), ('lr', [1e-05, 0.0001, 0.001]), ('lstm_layers', [1, 2, 3, 4]), ('n_epochs', [1000]), ('num_attention_heads', [4, 5, 6, 7]), ('optimizer', ['adam']), ('output_chunk_length', [1])])",COMPLETE
59,59,0.04096824303269386,2022-08-12 00:23:51.171979,2022-08-12 00:26:48.846390,0 days 00:02:57.674411,256,0.1,GatedResidualNetwork,128,30,0.001,4,1000,7,adam,1,575,"OrderedDict([('batch_size', [256]), ('dropout', [0.0, 0.05, 0.1]), ('feed_forward', ['GatedResidualNetwork']), ('hidden_size', [16, 32, 64, 128]), ('input_chunk_length', [30]), ('lr', [1e-05, 0.0001, 0.001]), ('lstm_layers', [1, 2, 3, 4]), ('n_epochs', [1000]), ('num_attention_heads', [4, 5, 6, 7]), ('optimizer', ['adam']), ('output_chunk_length', [1])])",COMPLETE
60,60,0.029150713235139847,2022-08-12 00:26:48.847225,2022-08-12 00:36:17.420606,0 days 00:09:28.573381,256,0.1,GatedResidualNetwork,64,30,0.0001,1,1000,7,adam,1,499,"OrderedDict([('batch_size', [256]), ('dropout', [0.0, 0.05, 0.1]), ('feed_forward', ['GatedResidualNetwork']), ('hidden_size', [16, 32, 64, 128]), ('input_chunk_length', [30]), ('lr', [1e-05, 0.0001, 0.001]), ('lstm_layers', [1, 2, 3, 4]), ('n_epochs', [1000]), ('num_attention_heads', [4, 5, 6, 7]), ('optimizer', ['adam']), ('output_chunk_length', [1])])",COMPLETE
61,61,0.03909384086728096,2022-08-12 00:36:17.421445,2022-08-12 00:41:37.065807,0 days 00:05:19.644362,256,0.0,GatedResidualNetwork,128,30,0.001,3,1000,7,adam,1,187,"OrderedDict([('batch_size', [256]), ('dropout', [0.0, 0.05, 0.1]), ('feed_forward', ['GatedResidualNetwork']), ('hidden_size', [16, 32, 64, 128]), ('input_chunk_length', [30]), ('lr', [1e-05, 0.0001, 0.001]), ('lstm_layers', [1, 2, 3, 4]), ('n_epochs', [1000]), ('num_attention_heads', [4, 5, 6, 7]), ('optimizer', ['adam']), ('output_chunk_length', [1])])",COMPLETE
62,62,0.03585885465145111,2022-08-12 00:41:37.066644,2022-08-12 00:45:39.926550,0 days 00:04:02.859906,256,0.05,GatedResidualNetwork,16,30,0.001,3,1000,5,adam,1,233,"OrderedDict([('batch_size', [256]), ('dropout', [0.0, 0.05, 0.1]), ('feed_forward', ['GatedResidualNetwork']), ('hidden_size', [16, 32, 64, 128]), ('input_chunk_length', [30]), ('lr', [1e-05, 0.0001, 0.001]), ('lstm_layers', [1, 2, 3, 4]), ('n_epochs', [1000]), ('num_attention_heads', [4, 5, 6, 7]), ('optimizer', ['adam']), ('output_chunk_length', [1])])",COMPLETE
63,63,0.23410345613956451,2022-08-12 00:45:39.927384,2022-08-12 00:50:30.019701,0 days 00:04:50.092317,256,0.1,GatedResidualNetwork,128,30,1e-05,3,1000,6,adam,1,538,"OrderedDict([('batch_size', [256]), ('dropout', [0.0, 0.05, 0.1]), ('feed_forward', ['GatedResidualNetwork']), ('hidden_size', [16, 32, 64, 128]), ('input_chunk_length', [30]), ('lr', [1e-05, 0.0001, 0.001]), ('lstm_layers', [1, 2, 3, 4]), ('n_epochs', [1000]), ('num_attention_heads', [4, 5, 6, 7]), ('optimizer', ['adam']), ('output_chunk_length', [1])])",COMPLETE
64,64,0.23983412981033325,2022-08-12 00:50:30.020553,2022-08-12 00:56:36.971138,0 days 00:06:06.950585,256,0.0,GatedResidualNetwork,64,30,0.0001,4,1000,6,adam,1,126,"OrderedDict([('batch_size', [256]), ('dropout', [0.0, 0.05, 0.1]), ('feed_forward', ['GatedResidualNetwork']), ('hidden_size', [16, 32, 64, 128]), ('input_chunk_length', [30]), ('lr', [1e-05, 0.0001, 0.001]), ('lstm_layers', [1, 2, 3, 4]), ('n_epochs', [1000]), ('num_attention_heads', [4, 5, 6, 7]), ('optimizer', ['adam']), ('output_chunk_length', [1])])",COMPLETE
65,65,0.3298473060131073,2022-08-12 00:56:36.971977,2022-08-12 00:58:57.641971,0 days 00:02:20.669994,256,0.05,GatedResidualNetwork,32,30,0.001,1,1000,5,adam,1,273,"OrderedDict([('batch_size', [256]), ('dropout', [0.0, 0.05, 0.1]), ('feed_forward', ['GatedResidualNetwork']), ('hidden_size', [16, 32, 64, 128]), ('input_chunk_length', [30]), ('lr', [1e-05, 0.0001, 0.001]), ('lstm_layers', [1, 2, 3, 4]), ('n_epochs', [1000]), ('num_attention_heads', [4, 5, 6, 7]), ('optimizer', ['adam']), ('output_chunk_length', [1])])",COMPLETE
66,66,0.04693267121911049,2022-08-12 00:58:57.642811,2022-08-12 01:02:15.955049,0 days 00:03:18.312238,256,0.05,GatedResidualNetwork,128,30,1e-05,3,1000,5,adam,1,345,"OrderedDict([('batch_size', [256]), ('dropout', [0.0, 0.05, 0.1]), ('feed_forward', ['GatedResidualNetwork']), ('hidden_size', [16, 32, 64, 128]), ('input_chunk_length', [30]), ('lr', [1e-05, 0.0001, 0.001]), ('lstm_layers', [1, 2, 3, 4]), ('n_epochs', [1000]), ('num_attention_heads', [4, 5, 6, 7]), ('optimizer', ['adam']), ('output_chunk_length', [1])])",COMPLETE
67,67,0.330447256565094,2022-08-12 01:02:15.955895,2022-08-12 01:11:02.121787,0 days 00:08:46.165892,256,0.1,GatedResidualNetwork,128,30,1e-05,1,1000,7,adam,1,531,"OrderedDict([('batch_size', [256]), ('dropout', [0.0, 0.05, 0.1]), ('feed_forward', ['GatedResidualNetwork']), ('hidden_size', [16, 32, 64, 128]), ('input_chunk_length', [30]), ('lr', [1e-05, 0.0001, 0.001]), ('lstm_layers', [1, 2, 3, 4]), ('n_epochs', [1000]), ('num_attention_heads', [4, 5, 6, 7]), ('optimizer', ['adam']), ('output_chunk_length', [1])])",COMPLETE
68,68,0.05678664892911911,2022-08-12 01:11:02.122634,2022-08-12 01:16:57.490458,0 days 00:05:55.367824,256,0.1,GatedResidualNetwork,16,30,1e-05,2,1000,7,adam,1,391,"OrderedDict([('batch_size', [256]), ('dropout', [0.0, 0.05, 0.1]), ('feed_forward', ['GatedResidualNetwork']), ('hidden_size', [16, 32, 64, 128]), ('input_chunk_length', [30]), ('lr', [1e-05, 0.0001, 0.001]), ('lstm_layers', [1, 2, 3, 4]), ('n_epochs', [1000]), ('num_attention_heads', [4, 5, 6, 7]), ('optimizer', ['adam']), ('output_chunk_length', [1])])",COMPLETE
69,69,0.05040452256798744,2022-08-12 01:16:57.491297,2022-08-12 01:27:39.966182,0 days 00:10:42.474885,256,0.05,GatedResidualNetwork,32,30,0.001,1,1000,4,adam,1,272,"OrderedDict([('batch_size', [256]), ('dropout', [0.0, 0.05, 0.1]), ('feed_forward', ['GatedResidualNetwork']), ('hidden_size', [16, 32, 64, 128]), ('input_chunk_length', [30]), ('lr', [1e-05, 0.0001, 0.001]), ('lstm_layers', [1, 2, 3, 4]), ('n_epochs', [1000]), ('num_attention_heads', [4, 5, 6, 7]), ('optimizer', ['adam']), ('output_chunk_length', [1])])",COMPLETE
70,70,0.0400945246219635,2022-08-12 01:27:39.967037,2022-08-12 01:32:36.851065,0 days 00:04:56.884028,256,0.0,GatedResidualNetwork,128,30,1e-05,1,1000,6,adam,1,146,"OrderedDict([('batch_size', [256]), ('dropout', [0.0, 0.05, 0.1]), ('feed_forward', ['GatedResidualNetwork']), ('hidden_size', [16, 32, 64, 128]), ('input_chunk_length', [30]), ('lr', [1e-05, 0.0001, 0.001]), ('lstm_layers', [1, 2, 3, 4]), ('n_epochs', [1000]), ('num_attention_heads', [4, 5, 6, 7]), ('optimizer', ['adam']), ('output_chunk_length', [1])])",COMPLETE
71,71,0.0353633277118206,2022-08-12 01:32:36.851918,2022-08-12 01:36:37.029001,0 days 00:04:00.177083,256,0.05,GatedResidualNetwork,16,30,1e-05,3,1000,5,adam,1,201,"OrderedDict([('batch_size', [256]), ('dropout', [0.0, 0.05, 0.1]), ('feed_forward', ['GatedResidualNetwork']), ('hidden_size', [16, 32, 64, 128]), ('input_chunk_length', [30]), ('lr', [1e-05, 0.0001, 0.001]), ('lstm_layers', [1, 2, 3, 4]), ('n_epochs', [1000]), ('num_attention_heads', [4, 5, 6, 7]), ('optimizer', ['adam']), ('output_chunk_length', [1])])",COMPLETE
72,72,0.029846474528312683,2022-08-12 01:36:37.029859,2022-08-12 01:44:04.127283,0 days 00:07:27.097424,256,0.1,GatedResidualNetwork,16,30,0.001,1,1000,7,adam,1,419,"OrderedDict([('batch_size', [256]), ('dropout', [0.0, 0.05, 0.1]), ('feed_forward', ['GatedResidualNetwork']), ('hidden_size', [16, 32, 64, 128]), ('input_chunk_length', [30]), ('lr', [1e-05, 0.0001, 0.001]), ('lstm_layers', [1, 2, 3, 4]), ('n_epochs', [1000]), ('num_attention_heads', [4, 5, 6, 7]), ('optimizer', ['adam']), ('output_chunk_length', [1])])",COMPLETE
73,73,0.04399833828210831,2022-08-12 01:44:04.128143,2022-08-12 01:48:07.221665,0 days 00:04:03.093522,256,0.0,GatedResidualNetwork,128,30,0.001,4,1000,7,adam,1,191,"OrderedDict([('batch_size', [256]), ('dropout', [0.0, 0.05, 0.1]), ('feed_forward', ['GatedResidualNetwork']), ('hidden_size', [16, 32, 64, 128]), ('input_chunk_length', [30]), ('lr', [1e-05, 0.0001, 0.001]), ('lstm_layers', [1, 2, 3, 4]), ('n_epochs', [1000]), ('num_attention_heads', [4, 5, 6, 7]), ('optimizer', ['adam']), ('output_chunk_length', [1])])",COMPLETE
74,74,0.042346954345703125,2022-08-12 01:48:07.222562,2022-08-12 01:54:00.381404,0 days 00:05:53.158842,256,0.05,GatedResidualNetwork,32,30,0.0001,2,1000,6,adam,1,262,"OrderedDict([('batch_size', [256]), ('dropout', [0.0, 0.05, 0.1]), ('feed_forward', ['GatedResidualNetwork']), ('hidden_size', [16, 32, 64, 128]), ('input_chunk_length', [30]), ('lr', [1e-05, 0.0001, 0.001]), ('lstm_layers', [1, 2, 3, 4]), ('n_epochs', [1000]), ('num_attention_heads', [4, 5, 6, 7]), ('optimizer', ['adam']), ('output_chunk_length', [1])])",COMPLETE
75,75,0.034877557307481766,2022-08-12 01:54:00.382248,2022-08-12 02:06:42.028201,0 days 00:12:41.645953,256,0.05,GatedResidualNetwork,64,30,1e-05,1,1000,4,adam,1,288,"OrderedDict([('batch_size', [256]), ('dropout', [0.0, 0.05, 0.1]), ('feed_forward', ['GatedResidualNetwork']), ('hidden_size', [16, 32, 64, 128]), ('input_chunk_length', [30]), ('lr', [1e-05, 0.0001, 0.001]), ('lstm_layers', [1, 2, 3, 4]), ('n_epochs', [1000]), ('num_attention_heads', [4, 5, 6, 7]), ('optimizer', ['adam']), ('output_chunk_length', [1])])",COMPLETE
76,76,0.0446905680000782,2022-08-12 02:06:42.029091,2022-08-12 02:10:53.264325,0 days 00:04:11.235234,256,0.1,GatedResidualNetwork,128,30,0.0001,3,1000,7,adam,1,555,"OrderedDict([('batch_size', [256]), ('dropout', [0.0, 0.05, 0.1]), ('feed_forward', ['GatedResidualNetwork']), ('hidden_size', [16, 32, 64, 128]), ('input_chunk_length', [30]), ('lr', [1e-05, 0.0001, 0.001]), ('lstm_layers', [1, 2, 3, 4]), ('n_epochs', [1000]), ('num_attention_heads', [4, 5, 6, 7]), ('optimizer', ['adam']), ('output_chunk_length', [1])])",COMPLETE
77,77,0.05343136191368103,2022-08-12 02:10:53.265172,2022-08-12 02:14:09.712936,0 days 00:03:16.447764,256,0.1,GatedResidualNetwork,32,30,0.0001,3,1000,4,adam,1,456,"OrderedDict([('batch_size', [256]), ('dropout', [0.0, 0.05, 0.1]), ('feed_forward', ['GatedResidualNetwork']), ('hidden_size', [16, 32, 64, 128]), ('input_chunk_length', [30]), ('lr', [1e-05, 0.0001, 0.001]), ('lstm_layers', [1, 2, 3, 4]), ('n_epochs', [1000]), ('num_attention_heads', [4, 5, 6, 7]), ('optimizer', ['adam']), ('output_chunk_length', [1])])",COMPLETE
78,78,0.29939591884613037,2022-08-12 02:14:09.713778,2022-08-12 02:30:58.617686,0 days 00:16:48.903908,256,0.1,GatedResidualNetwork,32,30,1e-05,3,1000,6,adam,1,442,"OrderedDict([('batch_size', [256]), ('dropout', [0.0, 0.05, 0.1]), ('feed_forward', ['GatedResidualNetwork']), ('hidden_size', [16, 32, 64, 128]), ('input_chunk_length', [30]), ('lr', [1e-05, 0.0001, 0.001]), ('lstm_layers', [1, 2, 3, 4]), ('n_epochs', [1000]), ('num_attention_heads', [4, 5, 6, 7]), ('optimizer', ['adam']), ('output_chunk_length', [1])])",COMPLETE
79,79,0.02916168048977852,2022-08-12 02:30:58.618530,2022-08-12 02:35:35.335005,0 days 00:04:36.716475,256,0.1,GatedResidualNetwork,128,30,0.0001,3,1000,5,adam,1,553,"OrderedDict([('batch_size', [256]), ('dropout', [0.0, 0.05, 0.1]), ('feed_forward', ['GatedResidualNetwork']), ('hidden_size', [16, 32, 64, 128]), ('input_chunk_length', [30]), ('lr', [1e-05, 0.0001, 0.001]), ('lstm_layers', [1, 2, 3, 4]), ('n_epochs', [1000]), ('num_attention_heads', [4, 5, 6, 7]), ('optimizer', ['adam']), ('output_chunk_length', [1])])",COMPLETE
80,80,0.030776100233197212,2022-08-12 02:35:35.335852,2022-08-12 02:40:46.991174,0 days 00:05:11.655322,256,0.05,GatedResidualNetwork,128,30,0.001,3,1000,5,adam,1,377,"OrderedDict([('batch_size', [256]), ('dropout', [0.0, 0.05, 0.1]), ('feed_forward', ['GatedResidualNetwork']), ('hidden_size', [16, 32, 64, 128]), ('input_chunk_length', [30]), ('lr', [1e-05, 0.0001, 0.001]), ('lstm_layers', [1, 2, 3, 4]), ('n_epochs', [1000]), ('num_attention_heads', [4, 5, 6, 7]), ('optimizer', ['adam']), ('output_chunk_length', [1])])",COMPLETE
81,81,0.2739744484424591,2022-08-12 02:40:46.992067,2022-08-12 02:46:37.407493,0 days 00:05:50.415426,256,0.0,GatedResidualNetwork,64,30,0.001,3,1000,4,adam,1,136,"OrderedDict([('batch_size', [256]), ('dropout', [0.0, 0.05, 0.1]), ('feed_forward', ['GatedResidualNetwork']), ('hidden_size', [16, 32, 64, 128]), ('input_chunk_length', [30]), ('lr', [1e-05, 0.0001, 0.001]), ('lstm_layers', [1, 2, 3, 4]), ('n_epochs', [1000]), ('num_attention_heads', [4, 5, 6, 7]), ('optimizer', ['adam']), ('output_chunk_length', [1])])",COMPLETE
82,82,0.05738784745335579,2022-08-12 02:46:37.408352,2022-08-12 02:50:11.414972,0 days 00:03:34.006620,256,0.0,GatedResidualNetwork,32,30,0.001,3,1000,5,adam,1,89,"OrderedDict([('batch_size', [256]), ('dropout', [0.0, 0.05, 0.1]), ('feed_forward', ['GatedResidualNetwork']), ('hidden_size', [16, 32, 64, 128]), ('input_chunk_length', [30]), ('lr', [1e-05, 0.0001, 0.001]), ('lstm_layers', [1, 2, 3, 4]), ('n_epochs', [1000]), ('num_attention_heads', [4, 5, 6, 7]), ('optimizer', ['adam']), ('output_chunk_length', [1])])",COMPLETE
83,83,0.03739717975258827,2022-08-12 02:50:11.415811,2022-08-12 02:52:42.217375,0 days 00:02:30.801564,256,0.0,GatedResidualNetwork,64,30,1e-05,4,1000,5,adam,1,109,"OrderedDict([('batch_size', [256]), ('dropout', [0.0, 0.05, 0.1]), ('feed_forward', ['GatedResidualNetwork']), ('hidden_size', [16, 32, 64, 128]), ('input_chunk_length', [30]), ('lr', [1e-05, 0.0001, 0.001]), ('lstm_layers', [1, 2, 3, 4]), ('n_epochs', [1000]), ('num_attention_heads', [4, 5, 6, 7]), ('optimizer', ['adam']), ('output_chunk_length', [1])])",COMPLETE
