,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,0.00340578556060791,0.006011787731778448,0.00036599636077880857,6.127871870276561e-05,0.1,2,auto,linear,"{'C': 0.1, 'degree': 2, 'gamma': 'auto', 'kernel': 'linear'}",-9.140952359875622e-05,-0.0002983117043615989,-0.00043346425392192217,-0.00012098850655108755,-0.00013070187852324723,-0.018075473245433574,-0.07060299052730143,-0.0018121229211798939,-0.001438647129104162,-0.000529032626067166,-0.009353314231604284,0.021077500947430734,233
1,0.006447720527648926,0.008471775114547693,0.0008285045623779297,0.0007567975885703521,0.1,2,auto,poly,"{'C': 0.1, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",-9.140952359875622e-05,-0.0002983117043615989,-0.00043346425392192217,-0.00012098850655108755,-0.00013070187852324723,-0.018075473245433574,-0.11329997621212208,-0.007564491221938967,-0.007231362029434783,-0.009600087631543755,-0.015684626620742975,0.03302351432722847,362
2,0.0011620759963989259,0.0008894636748039097,0.00036163330078125,9.75645881239967e-05,0.1,2,auto,rbf,"{'C': 0.1, 'degree': 2, 'gamma': 'auto', 'kernel': 'rbf'}",-9.140952359875622e-05,-0.0002983117043615989,-0.00043346425392192217,-0.00012098850655108755,-0.00013070187852324723,-0.018075473245433574,-0.08088333600438999,-0.0013737142644141686,-0.0012478783107637524,-0.0009751049477808003,-0.010363038263973891,0.024082406928068133,332
3,0.0026876211166381838,0.003096622887434578,0.00039315223693847656,0.00015064069969631706,0.1,2,auto,sigmoid,"{'C': 0.1, 'degree': 2, 'gamma': 'auto', 'kernel': 'sigmoid'}",-9.140952359875622e-05,-0.0002983117043615989,-0.00043346425392192217,-0.00012098850655108755,-0.00013070187852324723,-0.018075473245433574,-0.07168517876388653,-0.004159601143789992,-0.0025980355856840345,-0.0019725210216642967,-0.009956568562741503,0.02121889459845869,314
4,0.0012667179107666016,0.0011204559646223347,0.00032935142517089846,6.388498677968195e-05,0.1,2,0.1,linear,"{'C': 0.1, 'degree': 2, 'gamma': 0.1, 'kernel': 'linear'}",-9.140952359875622e-05,-0.0002983117043615989,-0.00043346425392192217,-0.00012098850655108755,-0.00013070187852324723,-0.018075473245433574,-0.07060299052730143,-0.0018121229211798939,-0.001438647129104162,-0.000529032626067166,-0.009353314231604284,0.021077500947430734,233
5,0.01746671199798584,0.027236665284325827,0.0018431186676025391,0.0023915219407618224,0.1,2,0.1,poly,"{'C': 0.1, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",-9.140952359875622e-05,-0.0002983117043615989,-0.00043346425392192217,-0.00012098850655108755,-0.00013070187852324723,-0.018075473245433574,-0.18918241850888834,-0.036715219828013415,-0.09498742415784193,-0.08279865561246567,-0.04228340672195995,0.05955199225063563,436
6,0.004491424560546875,0.0054412027203715845,0.0006589174270629882,0.0004962395994895664,0.1,2,0.1,rbf,"{'C': 0.1, 'degree': 2, 'gamma': 0.1, 'kernel': 'rbf'}",-9.140952359875622e-05,-0.0002983117043615989,-0.00043346425392192217,-0.00012098850655108755,-0.00013070187852324723,-0.018075473245433574,-0.13251834675361202,-0.000692297374785946,-0.0033011800316494018,-0.0013657581208671623,-0.01570279313933047,0.03928818798840851,364
7,0.007146406173706055,0.00923913719084104,0.0008979558944702149,0.0008252385626069168,0.1,2,0.1,sigmoid,"{'C': 0.1, 'degree': 2, 'gamma': 0.1, 'kernel': 'sigmoid'}",-9.140952359875622e-05,-0.0002983117043615989,-0.00043346425392192217,-0.00012098850655108755,-0.00013070187852324723,-0.018075473245433574,-0.14810863142639918,-0.0013076864907399324,-0.007719572658321482,-0.0030701390587285758,-0.017935637874657937,0.04372306363259208,382
8,0.001243734359741211,0.0010826589472622903,0.00032312870025634765,6.663456363760024e-05,0.1,2,1,linear,"{'C': 0.1, 'degree': 2, 'gamma': 1, 'kernel': 'linear'}",-9.140952359875622e-05,-0.0002983117043615989,-0.00043346425392192217,-0.00012098850655108755,-0.00013070187852324723,-0.018075473245433574,-0.07060299052730143,-0.0018121229211798939,-0.001438647129104162,-0.000529032626067166,-0.009353314231604284,0.021077500947430734,233
9,0.006360459327697754,0.008350750312789043,0.0008182287216186524,0.0007388148416823905,0.1,2,1,poly,"{'C': 0.1, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}",-9.140952359875622e-05,-0.0002983117043615989,-0.00043346425392192217,-0.00012098850655108755,-0.00013070187852324723,-0.018075473245433574,-0.11329997621212208,-0.007564491221938967,-0.007231362029434783,-0.009600087631543755,-0.015684626620742975,0.03302351432722847,362
10,0.0011267662048339844,0.0008659386030871767,0.00034956932067871095,9.657110921808032e-05,0.1,2,1,rbf,"{'C': 0.1, 'degree': 2, 'gamma': 1, 'kernel': 'rbf'}",-9.140952359875622e-05,-0.0002983117043615989,-0.00043346425392192217,-0.00012098850655108755,-0.00013070187852324723,-0.018075473245433574,-0.08088333600438999,-0.0013737142644141686,-0.0012478783107637524,-0.0009751049477808003,-0.010363038263973891,0.024082406928068133,332
