,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_epochs,params_hidden_size,params_input_chunk_length,params_learning_rate,params_lstm_layers,params_num_attentions_heads,params_optimizer,params_output_chunk_length,state
33,33,0.009549044072628021,2022-07-14 19:42:40.044233,2022-07-14 19:47:56.183614,0 days 00:05:16.139381,256,0.0,1000,128,30,1e-05,5,3,adam,1,COMPLETE
34,34,0.009548984467983246,2022-07-14 19:47:56.184375,2022-07-14 19:53:12.219350,0 days 00:05:16.034975,256,0.0,1000,128,30,1e-05,5,3,adam,1,COMPLETE
35,35,0.13428883254528046,2022-07-14 19:53:12.220117,2022-07-14 19:55:58.858684,0 days 00:02:46.638567,256,0.0,1000,128,30,0.0001,2,5,adam,1,COMPLETE
36,36,0.053241629153490067,2022-07-14 19:55:58.859439,2022-07-14 20:00:54.119280,0 days 00:04:55.259841,256,0.0,1000,128,30,0.001,5,7,adam,1,COMPLETE
37,37,0.051875341683626175,2022-07-14 20:00:54.120032,2022-07-14 20:03:13.766169,0 days 00:02:19.646137,256,0.05,1000,128,30,1e-05,4,2,adam,1,COMPLETE
38,38,0.08100499957799911,2022-07-14 20:03:13.766919,2022-07-14 20:05:19.473860,0 days 00:02:05.706941,256,0.0,1000,64,30,1e-05,3,3,adam,1,COMPLETE
39,39,0.029467586427927017,2022-07-14 20:05:19.474619,2022-07-14 20:09:11.036186,0 days 00:03:51.561567,256,0.05,1000,32,30,0.0001,5,7,adam,1,COMPLETE
40,40,0.09158145636320114,2022-07-14 20:09:11.036940,2022-07-14 20:12:23.662095,0 days 00:03:12.625155,256,0.0,1000,128,30,0.001,4,3,adam,1,COMPLETE
41,41,0.009549031965434551,2022-07-14 20:12:23.662847,2022-07-14 20:17:40.070731,0 days 00:05:16.407884,256,0.0,1000,128,30,1e-05,5,3,adam,1,COMPLETE
42,42,0.009549031965434551,2022-07-14 20:17:40.071496,2022-07-14 20:22:57.402801,0 days 00:05:17.331305,256,0.0,1000,128,30,1e-05,5,3,adam,1,COMPLETE
