round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,batch_size,decay,dense_kernel_init,epochs,first_conv_activation,first_conv_dim,first_conv_kernel,first_dense_activation,first_dense_dim,first_lstm_dim,lr,momentum,optimizer,patience
1,2.083216667175293,2.033240795135498,1.130961298942566,2.259157180786133,1.755796194076538,1.065718412399292,1024,0.0001,glorot_uniform,2,relu,32,3,<function tanh at 0x7f9166c22790>,16,32,1e-05,0.99,adam,50
1,3.722254753112793,2.077925205230713,1.1468005180358887,3.0174615383148193,1.631077766418457,1.0357919931411743,512,1e-05,glorot_uniform,2,relu,128,7,<function relu at 0x7f9166c22550>,16,64,0.001,0.9,rmsprop,50
1,2.833757162094116,1.834250807762146,1.0789467096328735,1.7687424421310425,1.5189918279647827,0.9710683226585388,256,0.0001,he_normal,2,tanh,64,3,<function tanh at 0x7f9166c22790>,32,64,0.0001,0.9,rmsprop,50
1,2.772083282470703,1.9156204462051392,1.1028861999511719,1.6839392185211182,1.6053898334503174,1.0052680969238281,512,0.0001,glorot_uniform,2,relu,32,3,<function tanh at 0x7f9166c22790>,32,32,1e-05,0.9,adam,50
1,1.9536103010177612,2.3020737171173096,1.1864235401153564,1.459740400314331,2.006240129470825,1.1097382307052612,256,0.001,he_normal,2,tanh,64,3,<function relu at 0x7f9166c22550>,32,16,0.0001,0.9,adam,50
