round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,batch_size,decay,dense_kernel_init,epochs,first_conv_activation,first_conv_dim,first_conv_kernel,first_dense_activation,first_dense_dim,lr,momentum,optimizer,patience,second_lstm_dim
1,0.48574385046958923,0.48574385046958923,0.5265759229660034,0.30768856406211853,0.30768856406211853,0.40661752223968506,1024,0.0001,glorot_uniform,2000,tanh,64,5,tanh,64,0.0001,0.9,rmsprop,50,64
1,0.6711657643318176,0.6711657643318176,0.632558286190033,0.39282089471817017,0.39282089471817017,0.46031153202056885,512,0.0001,glorot_uniform,2000,tanh,64,3,elu,64,1e-05,0.9,rmsprop,50,16
1,0.5867035984992981,0.5867035984992981,0.5781754851341248,0.35899317264556885,0.35899317264556885,0.43049514293670654,1024,0.001,he_normal,2000,tanh,64,11,selu,32,0.0001,0.99,nadam,50,32
1,0.7236771583557129,0.7236771583557129,0.6418737769126892,0.46532124280929565,0.46532124280929565,0.48675963282585144,512,1e-05,glorot_uniform,2000,tanh,64,7,relu,32,0.001,0.99,adam,50,64
1,0.697552502155304,0.697552502155304,0.6412625312805176,0.3551369905471802,0.3551369905471802,0.4363133907318115,1024,0.001,glorot_uniform,2000,tanh,32,11,selu,32,0.0001,0.9,nadam,50,32
