round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,first_conv_dim,first_conv_kernel,first_conv_activation,first_lstm_dim,first_dense_dim,first_dense_activation,batch_size,epochs,patience,optimizer,lr
200,0.0007212033378891647,0.0007212033378891647,0.013923664577305317,0.0021063280291855335,0.0021063280291855335,0.01657737046480179,32,7,relu,50,64,relu,256,200,20,adam,0.0001
200,0.0007843258208595216,0.0007843258208595216,0.014789676293730736,0.002247805241495371,0.002247805241495371,0.01765512302517891,32,5,relu,50,32,relu,256,200,20,adam,0.001
200,0.0011891912436112761,0.0011891912436112761,0.017385337501764297,0.0028674700297415257,0.0028674700297415257,0.020924421027302742,32,5,relu,50,32,tanh,256,200,20,adam,0.001
200,0.0006953065749257803,0.0006953065749257803,0.013806918635964394,0.00203326134942472,0.00203326134942472,0.016477661207318306,64,3,relu,50,16,tanh,256,200,20,adam,1e-05
200,0.001173463650047779,0.001173463650047779,0.017233863472938538,0.002810636069625616,0.002810636069625616,0.02066260389983654,32,3,relu,75,32,tanh,256,200,20,adam,0.001
200,0.0011066286824643612,0.0011066286824643612,0.016754107549786568,0.002663752529770136,0.002663752529770136,0.020086120814085007,64,5,relu,75,32,relu,256,200,20,adam,0.001
200,0.0008160832803696394,0.0008160832803696394,0.014690611511468887,0.0022866297513246536,0.0022866297513246536,0.017534298822283745,32,3,relu,50,16,tanh,256,200,20,adam,1e-05
200,0.0007896108436398208,0.0007896108436398208,0.014751072973012924,0.0021972290705889463,0.0021972290705889463,0.017604369670152664,32,5,relu,50,32,tanh,256,200,20,adam,0.0001
200,0.0007076721522025764,0.0007076721522025764,0.014513375237584114,0.002049313858151436,0.002049313858151436,0.016771413385868073,32,5,relu,75,16,relu,256,200,20,adam,0.0001
200,0.0009883398888632655,0.0009883398888632655,0.016358790919184685,0.002564049558714032,0.002564049558714032,0.019490065053105354,64,7,relu,50,64,tanh,256,200,20,adam,0.001
200,0.0008314429433085024,0.0008314429433085024,0.014740525744855404,0.002328802365809679,0.002328802365809679,0.01790238544344902,64,7,relu,50,32,relu,256,200,20,adam,0.001
200,0.0009815952507779002,0.0009815952507779002,0.016608763486146927,0.002536377403885126,0.002536377403885126,0.019819162786006927,32,3,relu,75,16,tanh,256,200,20,adam,0.0001
200,0.0007323104655370116,0.0007323104655370116,0.01368692610412836,0.002086224965751171,0.002086224965751171,0.01680157147347927,32,3,relu,75,64,relu,256,200,20,adam,0.0001
200,0.0007995311752893031,0.0007995311752893031,0.014424317516386509,0.002213194267824292,0.002213194267824292,0.017665021121501923,32,3,relu,50,16,relu,256,200,20,adam,1e-05
200,0.0007835468277335167,0.0007835468277335167,0.014147805981338024,0.0022729202173650265,0.0022729202173650265,0.01733410730957985,64,7,relu,75,32,relu,256,200,20,adam,0.001
200,0.00130841217469424,0.00130841217469424,0.018331080675125122,0.0029423011001199484,0.0029423011001199484,0.021849455311894417,32,7,relu,75,64,relu,256,200,20,adam,0.001
200,0.0009486853959970176,0.0009486853959970176,0.01609654724597931,0.002440826268866658,0.002440826268866658,0.018508607521653175,32,5,relu,50,64,relu,256,200,20,adam,0.001
200,0.000865877082105726,0.000865877082105726,0.015297548845410347,0.0023920682724565268,0.0023920682724565268,0.018694251775741577,64,3,relu,75,16,tanh,256,200,20,adam,0.001
200,0.0009555477881804109,0.0009555477881804109,0.015632931143045425,0.002439038595184684,0.002439038595184684,0.018774472177028656,64,7,relu,50,16,tanh,256,200,20,adam,0.0001
200,0.0007735710241831839,0.0007735710241831839,0.014268238097429276,0.002244949573650956,0.002244949573650956,0.017180699855089188,64,3,relu,75,16,relu,256,200,20,adam,0.001
200,0.0010568249272182584,0.0010568249272182584,0.01662813499569893,0.0025754126254469156,0.0025754126254469156,0.019714320078492165,32,3,relu,75,64,tanh,256,200,20,adam,0.001
200,0.000761177740059793,0.000761177740059793,0.0142542514950037,0.0021562911570072174,0.0021562911570072174,0.01716388203203678,64,3,relu,75,16,tanh,256,200,20,adam,1e-05
200,0.0008741820347495377,0.0008741820347495377,0.015364907681941986,0.0023411265574395657,0.0023411265574395657,0.018352631479501724,32,3,relu,50,16,relu,256,200,20,adam,0.0001
