,avgcpu,std,labels
131,[-0.04906761],[0.72094417],[-0.48068453]
132,[-0.02696149],[0.69958854],[-0.09512873]
133,[0.01037727],[0.6728347],[-0.3842888]
134,[0.03392049],[0.6638058],[-0.61967108]
135,[0.04075341],[0.6693272],[-0.36518879]
136,[0.02756908],[0.68938744],[-0.69993901]
137,[0.01187171],[0.7104629],[-0.25305558]
138,[0.01361081],[0.70762086],[-0.20587757]
139,[0.01778878],[0.710811],[-0.64332199]
140,[0.01920412],[0.7125368],[-0.82183035]
141,[0.01857976],[0.719018],[-0.51600256]
142,[0.01748144],[0.7264953],[-0.30865706]
143,[0.01331919],[0.7308015],[-0.37683986]
144,[0.02612924],[0.7174611],[-0.28386352]
145,[0.04303015],[0.7031688],[-0.02888958]
146,[0.04980397],[0.69911927],[0.203653]
147,[0.05652554],[0.6952752],[0.23701543]
148,[0.07045224],[0.68592334],[0.01050911]
149,[0.07447499],[0.68710405],[-0.65301898]
150,[0.04710285],[0.7173172],[-0.51503338]
151,[0.0328214],[0.73463285],[-0.89418052]
152,[0.0362228],[0.7451769],[-1.03451545]
153,[0.0181968],[0.7526159],[-0.57844851]
154,[0.02711027],[0.7400677],[-0.33572484]
155,[0.02966252],[0.73268723],[-0.38121301]
156,[0.05098098],[0.7084125],[-0.39167383]
157,[0.07062459],[0.6909739],[-0.36344464]
158,[0.06978595],[0.693353],[-0.35862073]
159,[0.06346895],[0.69943047],[-0.29541748]
160,[0.06114222],[0.7013585],[-0.44997492]
161,[0.05747257],[0.70618707],[-0.26478809]
162,[0.05798336],[0.7050875],[-0.09872542]
163,[0.05862058],[0.7058391],[-0.57591577]
164,[0.05560341],[0.71102667],[-0.5975481]
165,[0.05452475],[0.713143],[-0.17310839]
166,[0.05850757],[0.71483207],[-0.27259461]
167,[0.05322606],[0.7188894],[-0.57550537]
168,[0.06180834],[0.7095143],[-0.65359887]
169,[0.05964478],[0.71359664],[-0.64456117]
170,[0.05102473],[0.72360015],[-0.65928707]
171,[0.04461108],[0.7264445],[-0.6603178]
172,[0.04438997],[0.7226697],[-0.32758599]
173,[0.04853473],[0.7142567],[-1.0748813]
174,[0.04171051],[0.722903],[-0.86270971]
175,[0.04385285],[0.71692276],[-0.75598005]
176,[0.04039907],[0.7261493],[-0.67242387]
177,[0.03275439],[0.7261496],[-0.65511808]
178,[0.04322564],[0.7119248],[-0.70049592]
179,[0.04513095],[0.70834184],[-0.87009302]
180,[0.04179065],[0.71136427],[-0.69902772]
181,[0.03855471],[0.7122539],[-0.5890788]
182,[0.03332211],[0.71547747],[-0.60762577]
183,[0.03408177],[0.7125363],[-0.4592089]
184,[0.04218256],[0.7041298],[-0.17762625]
185,[0.04748103],[0.69933176],[-0.21075292]
186,[0.05423748],[0.69513136],[-0.7198661]
187,[0.05396692],[0.70010227],[0.03575379]
188,[0.06075167],[0.69403064],[-0.46821187]
189,[0.05696693],[0.708454],[-0.28456516]
190,[0.06468928],[0.6980618],[-0.06044187]
191,[0.0697794],[0.6996954],[0.0938824]
192,[0.0643978],[0.7046146],[0.10850431]
193,[0.07759759],[0.69238776],[0.33241539]
194,[0.0872082],[0.6845989],[0.44017229]
195,[0.08768313],[0.6854378],[0.28224165]
196,[0.09033707],[0.68306786],[-0.03291961]
197,[0.07729],[0.6949345],[-0.24303329]
198,[0.06330875],[0.70963883],[-0.15689483]
199,[0.06670439],[0.7138135],[0.30056689]
200,[0.06749338],[0.7150992],[-0.12222729]
201,[0.07240511],[0.71273905],[-0.15079373]
202,[0.0821801],[0.7034523],[0.00389461]
203,[0.07459188],[0.7136544],[0.28058917]
204,[0.07451956],[0.7144851],[0.20265061]
205,[0.08052979],[0.707846],[0.30816646]
206,[0.08905089],[0.6967362],[0.27944894]
207,[0.08948869],[0.696869],[0.1155358]
208,[0.0915563],[0.69476795],[0.46585687]
209,[0.09322298],[0.692568],[-0.04179558]
210,[0.08954422],[0.6983299],[0.21336618]
211,[0.09969713],[0.6962103],[-0.08259738]
212,[0.08680764],[0.7109113],[-0.18216847]
213,[0.08700769],[0.7109345],[0.19174671]
214,[0.08130057],[0.7117054],[-0.07170581]
215,[0.0745151],[0.7165064],[-0.16622352]
216,[0.07663418],[0.71246964],[0.10423146]
217,[0.07474983],[0.71477616],[0.00131177]
218,[0.07193972],[0.71838576],[0.21736616]
219,[0.08222787],[0.70643795],[0.37504555]
220,[0.08233036],[0.7056724],[0.14085606]
221,[0.08892436],[0.69895494],[-0.11433427]
222,[0.08100182],[0.706205],[0.08993496]
223,[0.08094603],[0.7077885],[-0.12568279]
224,[0.07758953],[0.7133467],[-0.2034486]
225,[0.07354832],[0.7164795],[-0.5597266]
226,[0.0566923],[0.7326197],[-0.32072011]
227,[0.05855648],[0.7303807],[0.61568316]
228,[0.06893903],[0.72168374],[0.61215394]
229,[0.08464369],[0.70764434],[0.49206381]
230,[0.10578647],[0.68041605],[1.09159743]
231,[0.11077218],[0.6721279],[1.28246155]
232,[0.11482339],[0.6700021],[1.08159722]
233,[0.13010465],[0.65325487],[0.72919215]
234,[0.12181397],[0.65720475],[0.6451642]
235,[0.1068683],[0.67871475],[0.75804387]
236,[0.10930628],[0.692831],[0.17799933]
237,[0.10227591],[0.7056085],[0.20734548]
238,[0.10046229],[0.7160788],[0.56531558]
239,[0.10237573],[0.7201703],[0.78378208]
240,[0.10543182],[0.7134919],[0.84003762]
241,[0.11589766],[0.7001693],[0.60707323]
242,[0.10617404],[0.6975895],[0.77420833]
243,[0.10578173],[0.701853],[0.76393237]
244,[0.10364945],[0.706519],[0.78530024]
245,[0.11076124],[0.70598775],[0.63179301]
246,[0.10467798],[0.7116727],[0.95525348]
247,[0.11092213],[0.71197236],[1.10217406]
248,[0.11294246],[0.70960265],[1.04849848]
249,[0.1232485],[0.7018325],[1.07910442]
250,[0.12137672],[0.7028856],[0.97508123]
251,[0.1151855],[0.7099356],[1.39390523]
252,[0.12420082],[0.7089209],[1.19329613]
253,[0.12161894],[0.7083408],[1.18238829]
254,[0.12912363],[0.7080947],[0.60338965]
255,[0.10601187],[0.7266787],[-0.04364262]
256,[0.10241506],[0.7438198],[0.86156688]
257,[0.11953169],[0.74427956],[0.58162379]
258,[0.11071636],[0.7409304],[0.33815044]
259,[0.12745757],[0.7270955],[0.05561902]
260,[0.08651078],[0.74148136],[0.76450649]
261,[0.10038841],[0.73460287],[1.06848703]
262,[0.09866977],[0.72676784],[1.08476763]
263,[0.12501754],[0.70235384],[1.2877331]
264,[0.12383424],[0.68969005],[1.09227494]
265,[0.11893426],[0.6919082],[0.99237874]
266,[0.11979443],[0.6991898],[0.90287391]
267,[0.11035658],[0.712808],[0.85672224]
268,[0.11165369],[0.7207133],[0.63551066]
269,[0.10668524],[0.7294124],[0.87867484]
270,[0.10858972],[0.73265976],[1.03685808]
271,[0.10803667],[0.7308417],[1.18573301]
272,[0.11786118],[0.7211803],[1.17017582]
273,[0.1191023],[0.71553224],[1.16652373]
274,[0.11923651],[0.71526223],[1.11865691]
275,[0.11577536],[0.71975094],[1.02748717]
276,[0.11368866],[0.72541994],[1.01360017]
277,[0.11156653],[0.73132527],[1.11428097]
278,[0.11176495],[0.73355204],[0.99249989]
279,[0.11096688],[0.7343064],[1.16219064]
280,[0.11501245],[0.7331029],[1.28671811]
281,[0.11401466],[0.7306998],[1.24899861]
282,[0.11926274],[0.72548634],[1.07033681]
283,[0.11575466],[0.7287306],[1.07822087]
284,[0.11055554],[0.7359888],[1.17130596]
285,[0.1087019],[0.73961705],[1.26328472]
286,[0.11345865],[0.73649347],[1.57242207]
287,[0.12037301],[0.7289995],[1.79149129]
288,[0.12290938],[0.72091955],[1.68323534]
289,[0.12971152],[0.71288514],[1.46688622]
290,[0.12689163],[0.7188248],[1.5394244]
291,[0.11880147],[0.7311286],[1.52748698]
292,[0.11377126],[0.73850423],[1.62844558]
293,[0.11963089],[0.73763853],[1.76873078]
294,[0.11910933],[0.73639226],[1.67214893]
295,[0.11849765],[0.7352496],[1.57448428]
296,[0.11768454],[0.7389687],[1.7065746]
297,[0.11186825],[0.7452978],[1.64454806]
298,[0.10839337],[0.74755317],[1.54582701]
299,[0.11166947],[0.7485612],[1.63211841]
300,[0.10746656],[0.75320625],[1.48977837]
