,avgcpu,labelsavgcpu,avgmem,labelsavgmem
0,0.6687903566279437,0.6592165524122482,0.6348840336597272,0.6452291195605414
1,0.6460325369970794,0.6337693488772796,0.6154451393951649,0.6586733187955768
2,0.5981652817356381,0.6397133328742848,0.639768451606664,0.6422695324951049
3,0.6317872301448978,0.636257176471585,0.6411668070612394,0.671345659026141
4,0.6152689660508427,0.6454713922885271,0.6700115349884298,0.6692944781918877
5,0.6161240571108793,0.6325807206604797,0.6495308162692045,0.6400466443573556
6,0.6314568792102296,0.661596426121237,0.6532630057238291,0.6491513165656233
7,0.6448207389288227,0.6450189919302667,0.6073618041098793,0.6453498644191592
8,0.6398388596664724,0.6376723319058699,0.6274393624292325,0.6559656008972329
9,0.6121996583631766,0.696810550396939,0.6769860986033489,0.687503020031735
10,0.6352875016549495,0.6560582369959245,0.6565310920318848,0.6184867547398174
11,0.6350227242918483,0.6391914124418454,0.6234615736469702,0.587739179079431
12,0.6335116826932814,0.6956773982899532,0.589610467936399,0.6394848057699062
13,0.6905272027088041,0.6544713395482549,0.6402424131657377,0.6127793944235709
14,0.6620146473995253,0.6475908362915478,0.6326206593066999,0.5598534743017183
15,0.6193454162213152,0.5765640770140911,0.508388232686491,0.583590624779481
16,0.6095084635072168,0.6226253088493139,0.6027744309830374,0.6523014159918165
17,0.6176994752244491,0.5792155748646989,0.662918063830153,0.6536946763566018
18,0.5889144527453875,0.5569248590363145,0.6546464941490692,0.7141393881159557
19,0.5927006750178568,0.526794035548228,0.7196738307493308,0.6667643591619186
20,0.5404701143885238,0.5685100797110524,0.6654735587973251,0.7623352906466198
21,0.5549645355134191,0.5638448960033382,0.7353549420894826,0.7595595186429361
22,0.5709457486835846,0.5721146648530642,0.7409049874149897,0.7751956427828087
23,0.5568142397509026,0.6317254573588837,0.7668987014580293,0.7296259320732998
24,0.6550438330508624,0.6623204152522985,0.7279086268996368,0.6873822647633522
25,0.6916310216057091,0.6562039490502459,0.6968179384423953,0.6496457213172514
26,0.6352674351243628,0.6551194281773098,0.582437210537864,0.6941769750919969
27,0.7072800109243719,0.6959667051662144,0.7047553439285981,0.741948161593237
28,0.7219154905894151,0.6208739081577712,0.7585637061767033,0.6547261725834521
29,0.6150233456140585,0.5514698470180217,0.6646639327094169,0.5977216190234678
30,0.550849893227652,0.5701937952951146,0.6070492027575332,0.6053628669942965
31,0.5838825478349629,0.6071715133776248,0.6198330677631881,0.6595545250282103
32,0.6271875666206409,0.6220880329078834,0.6505034630443635,0.6686164596267486
33,0.61799842996693,0.5403656056149085,0.6505904988605057,0.5096234123195087
34,0.560373631514592,0.5424445449729722,0.5307683862963914,0.44842178156268686
35,0.5229999596985907,0.5656932914026449,0.4847454506365209,0.5082776428966729
36,0.5501817425070324,0.592604644546929,0.5258204423415955,0.5932288959007083
37,0.5644398937669267,0.5955129582446254,0.5535762073551865,0.6339781108472935
38,0.5583703640333963,0.6300585330785303,0.5668821672282872,0.6990153361300276
39,0.6061892040273548,0.6337815541510711,0.6789039657133921,0.6820276576362585
40,0.6352860714866062,0.6215993777112878,0.7002462448220306,0.7122847540082615
41,0.6977981031911502,0.6468907103309546,0.7603529942421574,0.7247379280220086
42,0.6294407659821691,0.6062335204754791,0.7048941888830973,0.7239837638304412
43,0.5901713788018476,0.5732341560541339,0.7213173562694954,0.7024321252595968
44,0.5631116224588282,0.5781820855151311,0.6859648768894364,0.7124754640419626
45,0.5671179478018102,0.6507376376235224,0.7085671468016029,0.7564747928161221
46,0.6555662556516756,0.5615579131442879,0.7516434339560175,0.7419717186383419
47,0.5570969139239068,0.5701339092669234,0.7301121492198975,0.7433948748152603
48,0.5774607823571175,0.5588878929516609,0.7434691930832957,0.7118424064020853
