,ENSEMBLE_MODELS,MSE,RMSE,MAE,MAPE,R2
106,LSTM_SVR_KNN,0.0004537499635047,0.0196349077072788,0.0147215781121689,0.0454799469453451,0.7538788345219086
107,LSTM_SVR_ARIMA,0.0004546351523678,0.0196731845925819,0.0148099830123883,0.0457288721133354,0.7533081699585535
108,LSTM_KNN_ARIMA,0.0004450729314091,0.0193967817233611,0.0146459698520132,0.0450617088780598,0.7602136960364168
109,TCN_TFT_RF,0.0004569902282448,0.0197090588411877,0.0148056099841251,0.0457068950411847,0.7530484114207834
110,TCN_TFT_SVR,0.0004704862500939,0.0200096828906192,0.0149532525808307,0.0463063826422431,0.7458394085086271
111,TCN_TFT_KNN,0.0004605671376879,0.0197428715901725,0.0147860608172062,0.0455859856320068,0.7522157897739016
112,TCN_TFT_ARIMA,0.0004613638991235,0.0197799773888683,0.0148675847428556,0.0458182604361976,0.7516339790968294
113,TCN_RF_SVR,0.0004666959821534,0.0199480522247558,0.0149506995602694,0.0462549667551885,0.7469529895360084
114,TCN_RF_KNN,0.000456629934973,0.0196712507174068,0.014775564363323,0.0455734525822614,0.7538259822466805
115,TCN_RF_ARIMA,0.0004570274780617,0.0197027005921548,0.0148454238059975,0.0457743638434893,0.7533226906092191
116,TCN_SVR_KNN,0.0004699170437744,0.0199762353141894,0.0149171656217239,0.0461061398025853,0.7462504112690999
117,TCN_SVR_ARIMA,0.0004711460115712,0.0200220710477605,0.0150271402023085,0.0464052797738663,0.7454684754531948
118,TCN_KNN_ARIMA,0.0004606290103443,0.0197349231922606,0.0148341321843342,0.0456674977076874,0.752543898269924
119,TFT_RF_SVR,0.0004682862492816,0.0199817025830559,0.0149368679206628,0.0462782251095555,0.7469197995989911
120,TFT_RF_KNN,0.0004579508374622,0.0197013640167083,0.0147549998533008,0.0455452960457656,0.7537591687862285
121,TFT_RF_ARIMA,0.0004583078788693,0.019731669072942,0.01482478558319,0.0457495020760373,0.7532733466598348
122,TFT_SVR_KNN,0.0004714838810413,0.0200105600924899,0.0149088977898118,0.0461810989170449,0.7461882374441422
123,TFT_SVR_ARIMA,0.0004726723471565,0.0200551639013986,0.0150112737927964,0.0464475060083544,0.7454237711393046
124,TFT_KNN_ARIMA,0.0004618859812906,0.019764583438581,0.0148140241022829,0.0456429368588278,0.7524655704325989
125,RF_SVR_KNN,0.0004684653916092,0.019968616014463,0.0149268059241933,0.0461918263812734,0.7467110398787186
126,RF_SVR_ARIMA,0.0004692546393775,0.020007660529615,0.0150072762647357,0.0464135807027725,0.7460250926134924
127,RF_KNN_ARIMA,0.0004583213387372,0.0197074393642466,0.014802645245872,0.045647178663999,0.753563503352184
128,SVR_KNN_ARIMA,0.0004724768939766,0.0200349429641472,0.0149910152037562,0.0463093327947754,0.7453473597662296
129,HYBRID_GRU_LSTM_TCN,0.0004377524050278,0.019252356297018,0.014525788156398,0.0446858440877305,0.7629888769150095
130,HYBRID_GRU_LSTM_TFT,0.0004379915464842,0.0192598642283768,0.0145016583541949,0.0446398954754877,0.7631066703581948
131,HYBRID_GRU_LSTM_RF,0.0004353193706452,0.0192147441371464,0.0145230453949042,0.0447182873278291,0.7639644187023976
132,HYBRID_GRU_LSTM_SVR,0.000444384977403,0.0194366615634338,0.0146115150727926,0.0450757291719268,0.7582861621093402
133,HYBRID_GRU_LSTM_KNN,0.0004378666693821,0.0192413022028869,0.0144916535833912,0.0445938982747412,0.763251187546741
134,HYBRID_GRU_LSTM_ARIMA,0.0004382184552199,0.0192639357861314,0.0145585731337452,0.0447809680446461,0.7629601579418641
135,HYBRID_GRU_TCN_TFT,0.000448623494976,0.0194951332507117,0.0146422121575895,0.0450841366894284,0.7578607513038066
136,HYBRID_GRU_TCN_RF,0.000445569209764,0.0194420078303636,0.0146432350552386,0.0451121901084442,0.7589697820462344
137,HYBRID_GRU_TCN_SVR,0.0004553664522478,0.019672351764865,0.0147526773534481,0.045519225576295,0.7531922374801825
138,HYBRID_GRU_TCN_KNN,0.000448311080326,0.0194701131030902,0.0146245297480942,0.0450103138224598,0.7582528298331956
139,HYBRID_GRU_TCN_ARIMA,0.000448856241814,0.0194973426965019,0.014690793343177,0.0451951813503852,0.7578429601487594
140,HYBRID_GRU_TFT_RF,0.0004461663128375,0.0194556362922614,0.0146256527604483,0.0450760666916682,0.7590538158978637
141,HYBRID_GRU_TFT_SVR,0.0004561018936337,0.0196885745686857,0.0147372270815132,0.0455151915453266,0.7532788811267773
142,HYBRID_GRU_TFT_KNN,0.0004488950041025,0.0194840581699192,0.0146062170368247,0.0449757614251163,0.7583205602478581
143,HYBRID_GRU_TFT_ARIMA,0.0004494173833946,0.0195107120865261,0.0146728482516351,0.0451652067697324,0.7579205171633975
144,HYBRID_GRU_RF_SVR,0.0004535644365982,0.0196519422285034,0.0147514062237921,0.0455618039271648,0.7537762723961553
145,HYBRID_GRU_RF_KNN,0.0004462748962564,0.0194421842965341,0.0146179016097822,0.045044376970016,0.7590972954552723
146,HYBRID_GRU_RF_ARIMA,0.0004465727152284,0.0194656944069257,0.0146697703751932,0.0451932730636364,0.7587414193305927
147,HYBRID_GRU_SVR_KNN,0.0004560929634632,0.019677100783869,0.0147290292438624,0.0454568465908655,0.7531161661473846
148,HYBRID_GRU_SVR_ARIMA,0.0004568584588335,0.0197088989703142,0.0147963781624156,0.0456468584370501,0.7526035526723306
149,HYBRID_GRU_KNN_ARIMA,0.0004493152568406,0.0194932693354918,0.0146619860526316,0.0451186369205194,0.7580384426661047
150,HYBRID_LSTM_TCN_TFT,0.0004436743910539,0.0193886980156444,0.0146069757673323,0.0449554599707314,0.7602346246641414
151,HYBRID_LSTM_TCN_RF,0.0004405470271942,0.0193322737797785,0.0146122697611158,0.0449872886554512,0.7614535897227874
152,HYBRID_LSTM_TCN_SVR,0.0004498047984837,0.0195519685461948,0.0147071295267689,0.0453544032523245,0.7559928625263616
153,HYBRID_LSTM_TCN_KNN,0.0004433351999469,0.019362125692135,0.0145903923664423,0.0448814974090443,0.7606935865414529
154,HYBRID_LSTM_TCN_ARIMA,0.0004437520615451,0.0193854820746627,0.0146613026281462,0.045076526006775,0.7603778519464045
155,HYBRID_LSTM_TFT_RF,0.0004408660257983,0.0193415497975663,0.0145827564498978,0.0449218995130415,0.7615728630598894
156,HYBRID_LSTM_TFT_SVR,0.0004502621354003,0.0195639056683063,0.0146865119319202,0.0453208117479257,0.7561147456584291
157,HYBRID_LSTM_TFT_KNN,0.000443641019254,0.019371742057488,0.0145666499350175,0.0448329609249852,0.760796556441588
158,HYBRID_LSTM_TFT_ARIMA,0.0004440350986563,0.0193945539863382,0.0146317254587879,0.045016830956813,0.7604906484465154
159,HYBRID_LSTM_RF_SVR,0.0004476515997004,0.0195241976811085,0.0147089370540501,0.0454034956692035,0.7567220712836648
160,HYBRID_LSTM_RF_KNN,0.0004409478327435,0.0193266724921057,0.0145836211633152,0.0449142932261964,0.7616832260048598
161,HYBRID_LSTM_RF_ARIMA,0.0004411173518256,0.0193463208114104,0.0146381966478225,0.0450671850182967,0.7614214849695683
162,HYBRID_LSTM_SVR_KNN,0.0004502264287561,0.0195510359647135,0.0146800549901531,0.0452853723889988,0.7560189140665984
163,HYBRID_LSTM_SVR_ARIMA,0.0004508636242366,0.0195791480642823,0.0147497664530986,0.0454823447610654,0.7556004356809324
164,HYBRID_LSTM_KNN_ARIMA,0.0004439061956286,0.0193756501402031,0.0146266414696014,0.0449883925133344,0.7606754573367843
165,HYBRID_TCN_TFT_RF,0.0004519014208291,0.0195864828450656,0.014718182493276,0.0453700364048593,0.7560161099503392
166,HYBRID_TCN_TFT_SVR,0.000462029166157,0.0198168578552136,0.0148409420119604,0.0458251914177192,0.7504587045758845
167,HYBRID_TCN_TFT_KNN,0.0004548709861098,0.0196181166816827,0.0147155338506153,0.0453091987457578,0.7552360822746556
168,HYBRID_TCN_TFT_ARIMA,0.0004554584411624,0.0196455368171325,0.0147810920842716,0.0454969203304928,0.7548113342000234
169,HYBRID_TCN_RF_SVR,0.0004590365233927,0.0197690298314662,0.0148328410202644,0.0458154254871841,0.7513173110529693
170,HYBRID_TCN_RF_KNN,0.0004517956925349,0.0195649590997742,0.0147044194855715,0.0453096956767302,0.7563740326897767
171,HYBRID_TCN_RF_ARIMA,0.0004521585872673,0.0195891989075248,0.0147567363874087,0.0454590009933087,0.7559934515749257
172,HYBRID_TCN_SVR_KNN,0.0004618059242735,0.0197974715277049,0.0148262007768778,0.0457453748799566,0.7506104327785206
173,HYBRID_TCN_SVR_ARIMA,0.0004626364954042,0.0198299101175831,0.0148964740681749,0.0459437614827598,0.7500731143132952
174,HYBRID_TCN_KNN_ARIMA,0.0004551420028953,0.0196200013437328,0.0147612561518653,0.0454117055588923,0.7552437028847595
175,HYBRID_TFT_RF_SVR,0.0004598518715727,0.0197869717890483,0.0148183909927941,0.0458026154829369,0.7514054535632954
176,HYBRID_TFT_RF_KNN,0.0004524595231055,0.0195806053993174,0.0146868800105734,0.0452725606816599,0.7564432619681704
177,HYBRID_TFT_RF_ARIMA,0.000452799635642,0.0196042606728965,0.0147380216768015,0.045421766852928,0.7560725074532954
178,HYBRID_TFT_SVR_KNN,0.0004626080931565,0.0198157049431094,0.0148090693792928,0.0457330258111571,0.75068227185188
179,HYBRID_TFT_SVR_ARIMA,0.0004634158820913,0.0198475222205291,0.0148771529194695,0.0459229466358075,0.7501547799866302
180,HYBRID_TFT_KNN_ARIMA,0.000455769871973,0.0196353620370355,0.0147443534814699,0.0453844616421724,0.7553064553261623
181,HYBRID_RF_SVR_KNN,0.0004600495758032,0.0197790072644222,0.0148133595655677,0.0457636669325172,0.7512085653705123
182,HYBRID_RF_SVR_ARIMA,0.0004606328044178,0.0198076975053218,0.0148692970311288,0.0459251169489984,0.7507252404650439
183,HYBRID_RF_KNN_ARIMA,0.0004529041434889,0.0195903471493344,0.0147296371259462,0.0453872269044882,0.7561562597426118
184,HYBRID_SVR_KNN_ARIMA,0.0004634028763489,0.0198355888140831,0.0148708775625819,0.0458770261780901,0.7500323377391457
185,GRU_LSTM_TCN_TFT,0.0004421124979461,0.0193551647719667,0.0145636450427924,0.0448573736985312,0.7608779365047987
186,GRU_LSTM_TCN_RF,0.000438928184226,0.0192970924830062,0.0145734511506508,0.0449004598067542,0.7620903921792035
187,GRU_LSTM_TCN_SVR,0.0004482035417911,0.0195162759229076,0.0146673555072606,0.0452714162988802,0.7565830616009518
188,GRU_LSTM_TCN_KNN,0.0004417005490134,0.0193265294845119,0.0145484347372666,0.044781345062961,0.7613416475201865
189,GRU_LSTM_TCN_ARIMA,0.0004420420601155,0.0193491470421169,0.0146167632073345,0.0449719266804213,0.761038750336826
190,GRU_LSTM_TFT_RF,0.0004394337155157,0.0193093103954305,0.0145512484331904,0.0448580029592642,0.7621871562095276
191,GRU_LSTM_TFT_SVR,0.0004488474113933,0.0195310302105012,0.0146463138751083,0.0452337393178786,0.7566824354262414
192,GRU_LSTM_TFT_KNN,0.0004421929010062,0.0193391624890014,0.0145300018025009,0.0447501794782675,0.7614221081135439
193,GRU_LSTM_TFT_ARIMA,0.0004425116299124,0.0193611959592216,0.0145914264750318,0.0449255559781422,0.7611290375301589
194,GRU_LSTM_RF_SVR,0.0004461799253179,0.0194899365998816,0.0146697635870157,0.0453173661387356,0.7572832521752021
