,MSE,MAE,RMSE,MAPE,R2
0,0.000633709637016722,0.019563198529889376,0.025173590070085794,0.05548482152805607,0.8006910718290836
1,0.00013600822521767306,0.009312410808631776,0.01166225643765704,0.032383251051097205,0.7981920937412769
2,0.00037842871429990193,0.01554218740331405,0.01945324431296492,0.0390252863129722,0.7682643463767808
3,0.001053511071567508,0.02210576077807385,0.032457835287762304,0.0522878056345599,0.7239085591662229
4,0.0003881274663250688,0.015643117676193887,0.019700950899006597,0.03532451551628877,0.49606779099547393
5,0.0015979415995825408,0.030390037945072428,0.039974261714039706,0.054879198254901035,0.6491427964316683
6,0.0004757104356227948,0.015094742979719147,0.021810787139000618,0.04089985325803042,0.7226828022326306
7,0.00025387934518450504,0.011784156618993938,0.01593359172266269,0.0407473963661645,0.8661854190348596
8,0.0002427189101775834,0.012930447202463618,0.015579438699054064,0.049346418066480546,0.729510020455433
9,0.00011573486217081045,0.008504057630710328,0.01075801385808786,0.035252960821838215,0.8461149530201761
10,0.00012483782473778437,0.009229463397848877,0.011173084835343567,0.039276506579100916,0.7508975542030814
11,0.0002810652722797245,0.01229264348276016,0.01676500141007225,0.08576690875816678,0.8034165561381698
