,MSE,MAE,RMSE,MAPE,R2
0,0.0007826808756383605,0.022501840060679876,0.027976434290994993,0.04136700169068685,0.45800581974862187
1,0.000251347231537959,0.013077575227566881,0.01585393426055372,0.0246593652357177,0.900102738589709
2,0.0005247300878556647,0.0193860754721901,0.02290698775168103,0.027526840976831744,0.8060760250909236
3,0.0008113560954002974,0.020985693776434344,0.028484313146015957,0.02984541439792509,0.67647041626468
4,0.0009255842623299324,0.024348522811365722,0.030423416348758933,0.026983070650330572,0.8576325416786772
5,0.0009541390364322141,0.02443317534756472,0.030889141076310526,0.026026961921346913,0.7189031848592354
6,0.0006103526207045817,0.018797533689231066,0.024705315636611117,0.02467475882446108,0.6734194545008296
7,0.00027892715786081106,0.01190441257283907,0.0167011124737489,0.01911232094608087,0.9090615019764199
8,0.0007203384675931509,0.01845295794733309,0.026839121960175055,0.029276024190833343,0.5613178776981997
9,0.00043612553097368585,0.015477238656523918,0.020883618723144842,0.024177486570005825,0.8018890159719726
10,0.0002762325725828912,0.013703098692313391,0.01662024586409272,0.021683393384193065,0.8320389637518779
11,0.0004704181403560227,0.01707214829006681,0.021689124932924856,0.03532396020285982,0.8583656510607394
