,MSE,MAE,RMSE,MAPE,R2
0,0.0008915367138408038,0.023446220816725996,0.029858612054829405,0.04310675632291892,0.38262486612050406
1,0.00029719916698781604,0.01414511063857697,0.017239465391589614,0.02665557912638737,0.8818790137697664
2,0.000539681516525109,0.019045234201987123,0.02323104639324516,0.027030424492921392,0.8005504405184878
3,0.0008462467072231936,0.021580332408573998,0.029090319819884993,0.03071773921578574,0.6625577271466385
4,0.0010417465272065133,0.02555974003823165,0.032276098388846715,0.028325245095471806,0.8397652041747989
5,0.001046728146407678,0.024807987752235024,0.03235317830457586,0.02643230557755593,0.6916257096307392
6,0.0007329151629879671,0.019505316713408858,0.027072405932756827,0.025655647146715616,0.6078400819236018
7,0.0003377244506068799,0.012607547170652031,0.018377280827338954,0.02020726380058721,0.889891846604072
8,0.000801212091058254,0.01969250908904311,0.02830569008270694,0.031292936765228055,0.5120662905957515
9,0.0004418950864571964,0.015939698829938464,0.021021300779380813,0.024789066053968987,0.7992681826726913
10,0.00030322961279451724,0.013906147107377713,0.01741348939169049,0.02202803941495975,0.8156236264613552
11,0.0005395020678064581,0.017832378730342144,0.023227183811354708,0.03680304371046128,0.8375657365863436
