,MSE,MAE,RMSE,MAPE,R2
0,0.0008695474808352218,0.02298184457763515,0.02948809049150558,0.04216322554229393,0.39785206367723047
1,0.0003213973235857052,0.014390501111177015,0.017927557658133614,0.02699687906056712,0.8722615234138346
2,0.000562309848421236,0.019723055138253964,0.023713073365155265,0.027953645504582632,0.7921877104818107
3,0.0008777803271872691,0.0219237589856372,0.029627357749000653,0.031192081284410755,0.6499836440794351
4,0.001076531449690497,0.025886470960809198,0.032810538698572096,0.028671768809875754,0.8344148096148452
5,0.0010052909436324743,0.02461827955873619,0.03170632340137333,0.02623384754928022,0.703833433331057
6,0.0007115345802484218,0.01895972715386197,0.026674605531261785,0.024925328408859145,0.6192801612110641
7,0.00033832921574046787,0.012782759601917458,0.01839372761950301,0.020490496525909542,0.8896946752948051
8,0.0007910784810701086,0.01957657566045392,0.028126117419048594,0.031109043415451284,0.5182376027443749
9,0.000469732429673346,0.016493488483086557,0.021673311460719286,0.025671203615789968,0.7866230081401091
10,0.00031830461912468256,0.014174745410444918,0.0178410935518169,0.02246806963990387,0.8064573878060577
11,0.0005259138248714427,0.017676730364941107,0.02293281109832466,0.0364109389383491,0.8416569094732413
