,ENSEMBLE_MODELS,MSE,RMSE,MAE,MAPE,R2
286,HYBRID_GRU_RF_SVR_KNN,0.000657856204359,0.0246798902350995,0.0190231426841631,0.0458055945094545,0.6482294157834878
287,HYBRID_GRU_RF_SVR_ARIMA,0.0006584822886458,0.0247025839588403,0.0190402171508449,0.0458451038706734,0.6468370070434081
288,HYBRID_GRU_RF_KNN_ARIMA,0.0006394849947187,0.0243255885603301,0.0187834227793847,0.045244921921354,0.6588725363759108
289,HYBRID_GRU_SVR_KNN_ARIMA,0.0006537019116454,0.0246209504117007,0.018999962486409,0.0457713057225249,0.6485581691686347
290,HYBRID_LSTM_TCN_TFT_RF,0.000637539157774,0.0242921514207283,0.0187707878958473,0.0452332585847855,0.6589932136151178
291,HYBRID_LSTM_TCN_TFT_SVR,0.0006512234291988,0.0245781971347361,0.0189781429150255,0.0457269779244108,0.6487914280034207
292,HYBRID_LSTM_TCN_TFT_KNN,0.0006335236945393,0.0242251222648344,0.0187326203151815,0.0451598355104386,0.6601805378816105
293,HYBRID_LSTM_TCN_TFT_ARIMA,0.0006343144215752,0.0242483342359601,0.018750547117247,0.0452004303736706,0.6588010528989218
294,HYBRID_LSTM_TCN_RF_SVR,0.0006522571734981,0.0245798721370224,0.0189690496960419,0.0456737829401398,0.6499672599072731
295,HYBRID_LSTM_TCN_RF_KNN,0.000634147254706,0.0242189380702757,0.0187299848012393,0.0451211888637259,0.6615067305422236
296,HYBRID_LSTM_TCN_RF_ARIMA,0.000634768106694,0.0242397600468011,0.0187442757996814,0.0451519575138474,0.6602055951960285
297,HYBRID_LSTM_TCN_SVR_KNN,0.0006476996423466,0.0245028813967465,0.0189355579760486,0.045612701002309,0.6514829172610557
298,HYBRID_LSTM_TCN_SVR_ARIMA,0.0006486222889561,0.0245301354988021,0.0189597135822216,0.0456693247398454,0.6499799044453325
299,HYBRID_LSTM_TCN_KNN_ARIMA,0.0006309219795224,0.0241754904358339,0.0187101890052946,0.0450864043483801,0.6613833556856176
300,HYBRID_LSTM_TFT_RF_SVR,0.0006553200045772,0.0246390131072576,0.0189785508457126,0.0457182340411905,0.6486015408420814
301,HYBRID_LSTM_TFT_RF_KNN,0.0006369430015505,0.0242745590855486,0.0187394045981604,0.0451694680706031,0.6602596511008975
