,ENSEMBLE_MODELS,MSE,RMSE,MAE,MAPE,R2
194,GRU_LSTM_RF_SVR,0.000633322596001,0.0246126156699441,0.0188498790307578,0.0283415205383169,0.7339598896986819
195,GRU_LSTM_RF_KNN,0.0006367132412394,0.0246744133416876,0.0188653367401993,0.0283591531606353,0.732490540133425
196,GRU_LSTM_RF_ARIMA,0.0006390374024234,0.0247230974385957,0.0188846190154948,0.0283782839094775,0.731819012139128
197,GRU_LSTM_SVR_KNN,0.0006236264826613,0.0244151316847566,0.0187176039002238,0.0281256799500808,0.7387525091178467
198,GRU_LSTM_SVR_ARIMA,0.0006258672798423,0.0244626424624652,0.0187405095106336,0.0281501173497085,0.7381325000282333
199,GRU_LSTM_KNN_ARIMA,0.0006304075819444,0.0245447761556034,0.0187844335491431,0.0282118886420975,0.7361599184340794
200,GRU_TCN_TFT_RF,0.000654070746395,0.0250259366511854,0.0190415017157611,0.0286199821750038,0.7258992634927973
201,GRU_TCN_TFT_SVR,0.0006404606144428,0.0247610685436219,0.0189019839175829,0.0283992999822073,0.7323134345371537
202,GRU_TCN_TFT_KNN,0.0006450977843421,0.0248438449523925,0.0189488213346321,0.028462686871129,0.7303276659532321
203,GRU_TCN_TFT_ARIMA,0.0006477130212155,0.024897577431115,0.0189735639265645,0.0284904935064112,0.7295598839548464
204,GRU_TCN_RF_SVR,0.0006491223652788,0.0249319927073536,0.0190232301652143,0.0286028556527359,0.7277520474239889
205,GRU_TCN_RF_KNN,0.0006526231508141,0.0249946906087441,0.0190341266343792,0.028613031476283,0.7262677183517914
206,GRU_TCN_RF_ARIMA,0.0006552083276953,0.0250478396505158,0.0190551846950976,0.0286349325793382,0.7255052534399994
207,GRU_TCN_SVR_KNN,0.0006390406745734,0.0247295807445026,0.0188855878581408,0.0283811923552175,0.7326698697756299
208,GRU_TCN_SVR_ARIMA,0.0006415424874516,0.0247816419051323,0.0189097678681061,0.0284077227475035,0.7319589237685219
209,GRU_TCN_KNN_ARIMA,0.0006461929298507,0.0248644768125821,0.0189495320267839,0.0284608583546016,0.7299713626674275
210,GRU_TFT_RF_SVR,0.0006499938909885,0.0249439168403682,0.0190095657400969,0.0285877881468985,0.7272637741926528
211,GRU_TFT_RF_KNN,0.0006536687217741,0.0250095241122032,0.0190263026345874,0.028606658326414,0.725681327799521
