,CRYPTO,AVG_RMSE_WITH,AVG_RMSE_WITHOUT
0,btc,0.02481658905338064,0.024740920320398766
1,ltc,0.019599996836062696,0.019561265617531073
2,eth,0.03159650503316101,0.031529482745275915
3,xmr,0.024501859843109597,0.024524215614057706
4,xrp,0.015456068187132257,0.01538460207657931
