,MSE,MAE,RMSE,MAPE,R2
0,0.0009833046804703792,0.025577779278898864,0.03135768933563791,0.04730725570846987,0.8134750876909631
1,0.0005242075902084412,0.018151889465936547,0.022895580145705877,0.036561992862232676,0.7438432795214301
2,0.0010905635780135649,0.026424973322073424,0.03302368207837468,0.0354119246224701,0.6559819428523932
3,0.002152309809787571,0.03773415954773376,0.04639299311089522,0.04830861963571761,0.7179089710691766
4,0.0013011635490867532,0.02882540780836867,0.03607164466844773,0.03127761617764597,0.7914911678018487
5,0.0020206572637711186,0.03388693352326907,0.04495172147728181,0.03258595494550882,0.2862791434203553
6,0.001370987795422052,0.028454082673525862,0.037026852356392005,0.029631942852739304,0.5505633421128241
7,0.0011245302498410566,0.024443819331915424,0.03353401630942909,0.03476824946235471,0.9054707804280092
8,0.0010165125733789904,0.025125688618445555,0.031882794315727575,0.036557301482361367,0.5674388034835927
9,0.0004452613490409396,0.016446310796182532,0.021101216766834553,0.024644494339510253,0.9022118118527724
10,0.0006157970467499833,0.019011825042003085,0.024815258345420935,0.02611426527590376,0.7584834105378686
11,0.0009320310806403535,0.024687744756405484,0.030529184080816073,0.04762415971058584,0.8752205080156239
