,MSE,MAE,RMSE,MAPE,R2
0,0.000560725741153737,0.01840014227386564,0.023679648248099823,0.05228685222917117,0.8236453417478248
1,0.00011592269147641587,0.008100633169824793,0.01076674005799415,0.028229209339571938,0.8279948465080658
2,0.0003777094709838877,0.015359992913811668,0.0194347490589379,0.03850532691301539,0.7687047842020632
3,0.0010345946527095732,0.02131276148293788,0.03216511546240077,0.050261257898445204,0.7288659454518096
4,0.0003773881564942988,0.015063995485674702,0.019426480805701758,0.03394049253525101,0.5100113651966136
5,0.0014474332927131082,0.02805510916436713,0.038045148083732154,0.050572563036001265,0.6821896384913588
6,0.0003956833511853042,0.014520157799274928,0.01989179105021225,0.03924485111953863,0.7693348937988853
7,0.00020221414862517964,0.01092903058930871,0.014220202130250457,0.037580568683684,0.8934170814729494
8,0.00025192253496075296,0.012650428294935932,0.015872067759455696,0.04810898478153003,0.7192533483341139
9,0.00013349891221654925,0.009506495248135781,0.011554172935201777,0.03881808349580968,0.822495262076872
10,0.00011962266186304385,0.00879066286065305,0.010937214538585401,0.037587917809051935,0.7613039340807817
11,0.00025559364406077284,0.011366217112383593,0.01598729633367609,0.08118087253964393,0.8212319922304177
