,CRYPTO,AVG_RMSE_WITH,AVG_RMSE_WITHOUT
0,btc,0.0248062407896774,0.024751603750537733
1,ltc,0.019596768992482496,0.019564598006652324
2,eth,0.03158628851296774,0.03154003016490865
3,xmr,0.02453317635930882,0.024491884797738686
4,xrp,0.015453355802124083,0.01538740231211407
