,CRYPTO,AVG_RMSE_WITH,AVG_RMSE_WITHOUT
0,btc,0.02474224900818195,0.024817668140340737
1,ltc,0.0195435587987043,0.019619531607516456
2,eth,0.03145350307729237,0.031677116343439914
3,xmr,0.02445571913441851,0.024571850758657827
4,xrp,0.01538924723197436,0.015453587273199816
