,MSE,MAE,RMSE,MAPE,R2
0,0.0016010954017430278,0.03049821135898432,0.04001369017902533,0.06521914052199894,0.642933632564592
1,0.0002471872687548344,0.012402625309844168,0.01572219032943039,0.03196723100849732,0.7595954774638685
2,0.0006217127311568336,0.02094964229411655,0.024934167945949864,0.038453798632463114,0.7753940506333692
3,0.0010696727548461767,0.02256151142840584,0.03270585199694661,0.04527723319356685,0.6898783182645853
4,0.0003949850625114058,0.015325970797529143,0.01987423111748995,0.028877213140677274,0.1081351678543574
5,0.00062290219478691,0.019549319272240004,0.024958008630235506,0.040531386281460226,0.5481455138878545
6,0.0003627912229060414,0.014157766115761573,0.01904707911744059,0.03679826559857149,0.7053426687218999
7,0.00046808983717566813,0.018446536524401556,0.021635383915606123,0.05199027945949536,0.9068170199999606
8,0.00026986951529301675,0.013104942527466587,0.01642770572213347,0.04369359802615604,0.6770061911328431
9,0.0005920988704544559,0.01600429499822278,0.024333081811691176,0.04563406321483681,0.6054107729258995
10,0.000543989685920832,0.018324611180772384,0.02332358647208512,0.039932665281471415,0.6703852574136404
11,0.0009810749392945278,0.026379601026956852,0.03132211581765395,0.07917021199420199,0.6722784081516804
