,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364
0,266.37,294.63,309.57,287.36,264.01,272.5,249.02,253.61,274.87,255.6,242.89,243.03999999999996,260.75,275.57,278.15,262.94,277.12,265.77,267.9,264.53,203.05,201.81,218.51,225.74,194.95,202.84,211.92,213.16999999999996,217.89,223.06,205.44,211.35,214.86,219.92,214.47000000000003,221.75,215.17,205.23,212.87,209.7,211.52,206.25,203.83,203.38,196.71,192.95,197.56,199.41000000000003,189.02,182.89,196.77,197.7,203.96,208.52,212.91,218.07,225.59,235.44,241.67,242.01,239.86,235.45,232.58,226.02,244.38,252.84,263.09,271.83,257.12,269.31,266.34,268.03,257.42,272.89,271.6,271.86,266.5,256.23,252.51,264.19,282.06,287.98,306.38,318.17,307.33,314.29,291.4,315.0,300.5,291.4,281.8,285.8,302.9,302.5,304.1,305.1,315.4,314.8,263.2,257.1,261.8,249.2,249.8,256.2,263.3,269.1,269.3,264.0,262.7,271.7,259.8,232.7,218.0,245.1,249.1,233.6,235.8,234.2,234.3,229.6,233.6,251.1,257.5,252.8,259.3,264.8,270.8,286.5,277.8,277.9,278.4,270.0,276.7,277.2,274.3,266.8,274.1,268.0,261.1,256.5,255.0,260.0,271.0,266.3,267.3,289.3,286.6,279.9,255.6,267.2,269.0,263.3,274.9,271.1,275.0,266.1,260.7,255.0,259.9,266.8,275.0,289.4,267.1,263.8,260.7,270.7,275.0,268.1,240.7,241.6,226.4,238.3,247.2,250.5,231.7,237.4,243.9,248.2,226.9,228.1,239.1,235.8,238.0,230.6,239.5,223.4,204.7,201.3,201.0,207.0,209.7,189.1,189.9,198.7,197.9,183.8,186.7,188.1,187.1,181.6,181.2,184.0,189.0,189.1,190.6,209.8,204.3,211.1,217.1,220.7,208.8,214.7,225.4,228.7,250.1,239.7,231.5,222.1,206.5,204.4,194.7,183.9,191.0,182.4,192.9,199.1,223.6,229.8,217.7,224.1,214.4,204.1,201.4,188.6,173.0,152.2,157.0,146.7,144.8,148.2,144.7,149.0,153.7,147.9,147.1,146.1,144.9,146.9,165.2,168.5,173.6,184.9,178.7,186.0,179.1,169.3,173.8,173.7,176.1,182.5,179.1,163.7,160.1,161.1,153.7,147.8,150.9,148.7,147.0,153.9,157.8,150.6,170.4,177.5,177.7,171.9,159.9,166.0,158.9,157.8,203.1,188.5,178.6,170.6,185.4,175.6,185.9,183.0,189.3,187.6,195.1,197.4,194.8,191.5,193.8,197.0,203.7,199.6,206.8,215.6,214.8,222.1,221.2,212.7,218.4,212.6,217.3,222.1,222.4,213.1,226.0,217.2,239.8,235.8,226.2,232.6,237.1,229.3,239.4,236.2,241.4,266.2,253.9,267.0,278.5,268.5,266.6,252.7,254.3,230.0,229.4,227.5,220.5,214.1,211.9,199.6,207.2,225.3,206.6,218.8,204.9,217.0,173.5,163.0,140.8,137.8,144.1,153.5,172.1,162.5,172.8,155.1,166.0,174.1,175.9,187.0,185.3,193.1,204.2,189.3,180.9,176.0,186.0,204.1,198.6
1,266.37,294.63,309.57,287.36,264.01,272.5,249.02,253.61,274.87,255.6,242.89,243.03999999999996,260.75,275.57,278.15,262.94,277.12,265.77,267.9,264.53,203.05,201.81,218.51,225.74,194.95,202.84,211.92,213.16999999999996,217.89,223.06,205.44,211.35,214.86,219.92,214.47000000000003,221.75,215.17,205.23,212.87,209.7,211.52,206.25,203.83,203.38,196.71,192.95,197.56,199.41000000000003,189.02,182.89,196.77,197.7,203.96,208.52,212.91,218.07,225.59,235.44,241.67,242.01,239.86,235.45,232.58,226.02,244.38,252.84,263.09,271.83,257.12,269.31,266.34,268.03,257.42,272.89,271.6,271.86,266.5,256.23,252.51,264.19,282.06,287.98,306.38,318.17,307.33,314.29,291.4,315.0,300.5,291.4,281.8,285.8,302.9,302.5,304.1,305.1,315.4,314.8,263.2,257.1,261.8,249.2,249.8,256.2,263.3,269.1,269.3,264.0,262.7,271.7,259.8,232.7,218.0,245.1,249.1,233.6,235.8,234.2,234.3,229.6,233.6,251.1,257.5,252.8,259.3,264.8,270.8,286.5,277.8,277.9,278.4,270.0,276.7,277.2,274.3,266.8,274.1,268.0,261.1,256.5,255.0,260.0,271.0,266.3,267.3,289.3,286.6,279.9,255.6,267.2,269.0,263.3,274.9,271.1,275.0,266.1,260.7,255.0,259.9,266.8,275.0,289.4,267.1,263.8,260.7,270.7,275.0,268.1,240.7,241.6,226.4,238.3,247.2,250.5,231.7,237.4,243.9,248.2,226.9,228.1,239.1,235.8,238.0,230.6,239.5,223.4,204.7,201.3,201.0,207.0,209.7,189.1,189.9,198.7,197.9,183.8,186.7,188.1,187.1,181.6,181.2,184.0,189.0,189.1,190.6,209.8,204.3,211.1,217.1,220.7,208.8,214.7,225.4,228.7,250.1,239.7,231.5,222.1,206.5,204.4,194.7,183.9,191.0,182.4,192.9,199.1,223.6,229.8,217.7,224.1,214.4,204.1,201.4,188.6,173.0,152.2,157.0,146.7,144.8,148.2,144.7,149.0,153.7,147.9,147.1,146.1,144.9,146.9,165.2,168.5,173.6,184.9,178.7,186.0,179.1,169.3,173.8,173.7,176.1,182.5,179.1,163.7,160.1,161.1,153.7,147.8,150.9,148.7,147.0,153.9,157.8,150.6,170.4,177.5,177.7,171.9,159.9,166.0,158.9,157.8,203.1,188.5,178.6,170.6,185.4,175.6,185.9,183.0,189.3,187.6,195.1,197.4,194.8,191.5,193.8,197.0,203.7,199.6,206.8,215.6,214.8,222.1,221.2,212.7,218.4,212.6,217.3,222.1,222.4,213.1,226.0,217.2,239.8,235.8,226.2,232.6,237.1,229.3,239.4,236.2,241.4,266.2,253.9,267.0,278.5,268.5,266.6,252.7,254.3,230.0,229.4,227.5,220.5,214.1,211.9,199.6,207.2,225.3,206.6,218.8,204.9,217.0,173.5,163.0,140.8,137.8,144.1,153.5,172.1,162.5,172.8,155.1,166.0,174.1,175.9,187.0,185.3,193.1,204.2,189.3,180.9,176.0,186.0,204.1,198.6
2,266.37,294.63,309.57,287.36,264.01,272.5,249.02,253.61,274.87,255.6,242.89,243.03999999999996,260.75,275.57,278.15,262.94,277.12,265.77,267.9,264.53,203.05,201.81,218.51,225.74,194.95,202.84,211.92,213.16999999999996,217.89,223.06,205.44,211.35,214.86,219.92,214.47000000000003,221.75,215.17,205.23,212.87,209.7,211.52,206.25,203.83,203.38,196.71,192.95,197.56,199.41000000000003,189.02,182.89,196.77,197.7,203.96,208.52,212.91,218.07,225.59,235.44,241.67,242.01,239.86,235.45,232.58,226.02,244.38,252.84,263.09,271.83,257.12,269.31,266.34,268.03,257.42,272.89,271.6,271.86,266.5,256.23,252.51,264.19,282.06,287.98,306.38,318.17,307.33,314.29,291.4,315.0,300.5,291.4,281.8,285.8,302.9,302.5,304.1,305.1,315.4,314.8,263.2,257.1,261.8,249.2,249.8,256.2,263.3,269.1,269.3,264.0,262.7,271.7,259.8,232.7,218.0,245.1,249.1,233.6,235.8,234.2,234.3,229.6,233.6,251.1,257.5,252.8,259.3,264.8,270.8,286.5,277.8,277.9,278.4,270.0,276.7,277.2,274.3,266.8,274.1,268.0,261.1,256.5,255.0,260.0,271.0,266.3,267.3,289.3,286.6,279.9,255.6,267.2,269.0,263.3,274.9,271.1,275.0,266.1,260.7,255.0,259.9,266.8,275.0,289.4,267.1,263.8,260.7,270.7,275.0,268.1,240.7,241.6,226.4,238.3,247.2,250.5,231.7,237.4,243.9,248.2,226.9,228.1,239.1,235.8,238.0,230.6,239.5,223.4,204.7,201.3,201.0,207.0,209.7,189.1,189.9,198.7,197.9,183.8,186.7,188.1,187.1,181.6,181.2,184.0,189.0,189.1,190.6,209.8,204.3,211.1,217.1,220.7,208.8,214.7,225.4,228.7,250.1,239.7,231.5,222.1,206.5,204.4,194.7,183.9,191.0,182.4,192.9,199.1,223.6,229.8,217.7,224.1,214.4,204.1,201.4,188.6,173.0,152.2,157.0,146.7,144.8,148.2,144.7,149.0,153.7,147.9,147.1,146.1,144.9,146.9,165.2,168.5,173.6,184.9,178.7,186.0,179.1,169.3,173.8,173.7,176.1,182.5,179.1,163.7,160.1,161.1,153.7,147.8,150.9,148.7,147.0,153.9,157.8,150.6,170.4,177.5,177.7,171.9,159.9,166.0,158.9,157.8,203.1,188.5,178.6,170.6,185.4,175.6,185.9,183.0,189.3,187.6,195.1,197.4,194.8,191.5,193.8,197.0,203.7,199.6,206.8,215.6,214.8,222.1,221.2,212.7,218.4,212.6,217.3,222.1,222.4,213.1,226.0,217.2,239.8,235.8,226.2,232.6,237.1,229.3,239.4,236.2,241.4,266.2,253.9,267.0,278.5,268.5,266.6,252.7,254.3,230.0,229.4,227.5,220.5,214.1,211.9,199.6,207.2,225.3,206.6,218.8,204.9,217.0,173.5,163.0,140.8,137.8,144.1,153.5,172.1,162.5,172.8,155.1,166.0,174.1,175.9,187.0,185.3,193.1,204.2,189.3,180.9,176.0,186.0,204.1,198.6
