round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,lstm_dim_1,lstm_activation,dropout_rate_1,lstm_dim_2,dense_dim_1,dense_activation,gru_dim,gru_activation,dropout_rate_2,dense_dim_2,epochs,patience,batch_size,optimizer,lr
620,0.00022422052279580384,0.00022422052279580384,0.007757401559501886,0.00023297921870835125,0.00023297921870835125,0.007331988774240017,50,relu,0.1,50,64,relu,75,relu,0.0,32,200,20,256,adam,1e-05
642,0.00022213983174879104,0.00022213983174879104,0.007764121517539024,0.00023903757391963154,0.00023903757391963154,0.007703131530433893,50,relu,0.1,75,32,relu,75,relu,0.0,64,200,20,256,adam,0.0001
505,0.00025431046378798783,0.00025431046378798783,0.008574042469263077,0.00023845338728278875,0.00023845338728278875,0.00714763393625617,75,relu,0.05,50,64,relu,50,relu,0.1,64,200,20,256,adam,0.0001
649,0.0002461639523971826,0.0002461639523971826,0.008264034986495972,0.00024166055663954467,0.00024166055663954467,0.008137816563248634,50,relu,0.1,50,32,relu,75,relu,0.1,64,200,20,256,adam,1e-05
611,0.00023741854238323867,0.00023741854238323867,0.008179168216884136,0.000231072714086622,0.000231072714086622,0.006953862961381674,75,relu,0.1,50,64,relu,75,relu,0.0,64,200,20,256,adam,0.001
547,0.00025075182202272117,0.00025075182202272117,0.008660131134092808,0.000255561841186136,0.000255561841186136,0.0074773626402020454,75,relu,0.05,50,64,relu,75,relu,0.1,64,200,20,256,adam,0.001
541,0.00023569633776787668,0.00023569633776787668,0.008157197386026382,0.0002420957898721099,0.0002420957898721099,0.007045774720609188,75,relu,0.05,75,64,relu,50,relu,0.05,32,200,20,256,adam,1e-05
623,0.00024588732048869133,0.00024588732048869133,0.007977034896612167,0.0002558076230343431,0.0002558076230343431,0.007202082313597202,75,relu,0.1,75,32,relu,50,relu,0.05,32,200,20,256,adam,1e-05
521,0.00022964317759033293,0.00022964317759033293,0.008084955625236034,0.00025000504683703184,0.00025000504683703184,0.007002769038081169,75,relu,0.1,75,64,relu,50,relu,0.05,64,200,20,256,adam,1e-05
597,0.00023893686011433601,0.00023893686011433601,0.008074815385043621,0.00023853714810684323,0.00023853714810684323,0.007736717816442251,75,relu,0.05,50,32,relu,75,relu,0.0,32,200,20,256,adam,1e-05
647,0.00023066980065777898,0.00023066980065777898,0.00807242002338171,0.00023512537882197648,0.00023512537882197648,0.006823372561484575,50,relu,0.1,75,32,relu,75,relu,0.1,64,200,20,256,adam,0.0001
537,0.00022837272263132036,0.00022837272263132036,0.007852275855839252,0.0002454792847856879,0.0002454792847856879,0.007163199130445719,50,relu,0.1,75,64,relu,50,relu,0.1,32,200,20,256,adam,0.001
621,0.0002294044243171811,0.0002294044243171811,0.008085993118584156,0.00023814276210032403,0.00023814276210032403,0.007349118124693632,75,relu,0.05,75,64,relu,50,relu,0.1,64,200,20,256,adam,0.001
376,0.0002749086997937411,0.0002749086997937411,0.008662832900881767,0.0002635464770719409,0.0002635464770719409,0.007513485848903656,75,relu,0.05,75,32,relu,50,relu,0.1,64,200,20,256,adam,1e-05
577,0.00023714275448583066,0.00023714275448583066,0.00801780167967081,0.00024297539494000375,0.00024297539494000375,0.007086928468197584,75,relu,0.05,50,64,relu,75,relu,0.1,64,200,20,256,adam,1e-05
501,0.00023488380247727036,0.00023488380247727036,0.008098948746919632,0.00025042143533937633,0.00025042143533937633,0.007468803785741329,75,relu,0.05,75,32,relu,75,relu,0.0,32,200,20,256,adam,0.0001
706,0.00023303764464799315,0.00023303764464799315,0.007976559922099113,0.00023424428945872933,0.00023424428945872933,0.0070473854430019855,75,relu,0.1,50,32,relu,75,relu,0.0,64,200,20,256,adam,0.001
678,0.00024622929049655795,0.00024622929049655795,0.008107227273285389,0.00023920537205412984,0.00023920537205412984,0.006900143343955278,50,relu,0.1,50,32,relu,50,relu,0.05,32,200,20,256,adam,0.001
582,0.00025323775480501354,0.00025323775480501354,0.008186480961740017,0.00024812202900648117,0.00024812202900648117,0.007548362948000431,50,relu,0.05,75,32,relu,75,relu,0.0,32,200,20,256,adam,1e-05
446,0.00028081692289561033,0.00028081692289561033,0.008763551712036133,0.00023720260651316494,0.00023720260651316494,0.007604432757943869,75,relu,0.05,50,64,relu,75,relu,0.0,32,200,20,256,adam,0.0001
733,0.00022123570670373738,0.00022123570670373738,0.00760481134057045,0.00022913661086931825,0.00022913661086931825,0.006929428316652775,50,relu,0.05,75,64,relu,75,relu,0.1,32,200,20,256,adam,0.001
727,0.0002418395597487688,0.0002418395597487688,0.008487659506499767,0.0002465284778736532,0.0002465284778736532,0.0071235401555895805,75,relu,0.05,75,64,relu,50,relu,0.05,32,200,20,256,adam,0.001
367,0.000243839094764553,0.000243839094764553,0.008270581252872944,0.0002527750621084124,0.0002527750621084124,0.007524223066866398,50,relu,0.1,50,32,relu,75,relu,0.05,64,200,20,256,adam,0.0001
819,0.00022681672999169677,0.00022681672999169677,0.00787776056677103,0.00023525836877524853,0.00023525836877524853,0.007340292911976576,75,relu,0.05,50,32,relu,50,relu,0.0,64,200,20,256,adam,0.0001
662,0.0002473829663358629,0.0002473829663358629,0.008467081002891064,0.0002364918909734115,0.0002364918909734115,0.007314302958548069,50,relu,0.05,50,32,relu,75,relu,0.05,64,200,20,256,adam,0.0001
741,0.000224890565732494,0.000224890565732494,0.007870601490139961,0.00023167462495621294,0.00023167462495621294,0.007101154886186123,50,relu,0.05,75,64,relu,50,relu,0.0,32,200,20,256,adam,1e-05
716,0.00022431599791161716,0.00022431599791161716,0.008044755086302757,0.00023213002714328468,0.00023213002714328468,0.007492715492844582,50,relu,0.05,50,64,relu,75,relu,0.1,64,200,20,256,adam,0.0001
634,0.00024142986512742937,0.00024142986512742937,0.008278263732790947,0.00024275388568639755,0.00024275388568639755,0.007380877621471882,75,relu,0.05,75,32,relu,75,relu,0.05,64,200,20,256,adam,0.0001
555,0.00025084090884774923,0.00025084090884774923,0.008042688481509686,0.00024184377980418503,0.00024184377980418503,0.007079408969730139,50,relu,0.1,50,32,relu,50,relu,0.0,32,200,20,256,adam,1e-05
634,0.00022831484966445714,0.00022831484966445714,0.008060412481427193,0.00024397473316639662,0.00024397473316639662,0.006963392719626427,75,relu,0.1,75,32,relu,50,relu,0.1,64,200,20,256,adam,0.0001
560,0.00022219658421818167,0.00022219658421818167,0.007999613881111145,0.00022998478380031884,0.00022998478380031884,0.007146188523620367,75,relu,0.05,50,32,relu,50,relu,0.1,64,200,20,256,adam,0.0001
